movie_facebook_likes,imdb_score,cast_total_facebook_likes,movie_title
0,6.7,35161,Flushed AwayŒæ
24000,5.8,21393,PanŒæ
11000,6.9,5810,Mr. Peabody & ShermanŒæ
0,7.2,17944,TroyŒæ
17000,6.9,2444,Madagascar 3: Europe's Most WantedŒæ
0,6.1,2538,Die Another DayŒæ
62000,5.5,2097,GhostbustersŒæ
11000,6.6,26029,ArmageddonŒæ
2000,6.1,14823,Men in Black IIŒæ
3000,6.3,31523,BeowulfŒæ
24000,7.2,36095,Kung Fu Panda 3Œæ
35000,7.4,21768,Mission: Impossible - Ghost ProtocolŒæ
25000,7.3,20645,Rise of the GuardiansŒæ
2000,6.1,1997,Fun with Dick and JaneŒæ
0,7.7,11945,The Last SamuraiŒæ
51000,6.1,26490,Exodus: Gods and KingsŒæ
19000,8,39284,Star TrekŒæ
5000,7.3,40484,Spider-ManŒæ
46000,7.9,23378,How to Train Your Dragon 2Œæ
24000,5.5,19769,Gods of EgyptŒæ
0,5,2705,StealthŒæ
18000,7.7,2530,WatchmenŒæ
0,6.6,6171,Lethal Weapon 4Œæ
0,5.7,1814,HulkŒæ
42000,5.8,31958,G.I. Joe: RetaliationŒæ
0,6,13073,SaharaŒæ
0,6.4,15015,Final Fantasy: The Spirits WithinŒæ
46000,6.9,19761,Captain America: The First AvengerŒæ
2000,6.4,2037,The World Is Not EnoughŒæ
0,7.4,1205,Master and Commander: The Far Side of the WorldŒæ
65000,5.5,59177,The Twilight Saga: Breaking Dawn - Part 2Œæ
0,5.9,62644,Happy Feet 2Œæ
0,6.8,5811,The Incredible HulkŒæ
0,7.5,1687,Miami ViceŒæ            
27000,6.8,1950,The BFGŒæ
190000,8.1,57108,The RevenantŒæ
13000,6.5,17416,TurboŒæ
26000,7.2,43291,RangoŒæ
11000,6.7,19963,Penguins of MadagascarŒæ
0,8.1,17369,The Bourne UltimatumŒæ
6000,7.6,12754,Kung Fu PandaŒæ
61000,7.4,5730,Ant-ManŒæ
82000,7.6,49355,The Hunger Games: Catching FireŒæ
65000,5.5,59177,The Twilight Saga: Breaking Dawn - Part 2Œæ
26000,6.7,17883,HomeŒæ
0,6.5,12758,War of the WorldsŒæ
0,6.6,12954,Bad Boys IIŒæ
16000,6.7,5046,Puss in BootsŒæ
23000,6.4,12406,SaltŒæ
71000,5.8,32355,NoahŒæ
44000,7.4,4631,The Adventures of TintinŒæ
11000,7.8,33284,Harry Potter and the Prisoner of AzkabanŒæ
0,6.6,921,AustraliaŒæ
37000,4.9,14168,After EarthŒæ
0,6.5,2945,DinosaurŒæ
40,7.5,11036,Harry Potter and the Deathly Hallows: Part IIŒæ
11000,6.2,53587,Night at the Museum: Secret of the TombŒæ
13000,7.3,46120,MegamindŒæ
16000,7.5,13191,Harry Potter and the Sorcerer's StoneŒæ
20000,5.6,31549,R.I.P.D.Œæ
0,8.2,699,Godzilla ResurgenceŒæ
10000,8.1,48184,Pirates of the Caribbean: The Curse of the Black PearlŒæ
25,6.4,14719,Harry Potter and the Deathly Hallows: Part IŒæ
52000,6.7,81385,The Hunger Games: Mockingjay - Part 1Œæ
0,6.6,16008,The Da Vinci CodeŒæ
0,6.4,1031,Rio 2Œæ
0,7.5,20952,X-Men 2Œæ
54000,7.3,55345,Fast FiveŒæ
39000,7.5,22403,Sherlock Holmes: A Game of ShadowsŒæ
15000,5.8,18003,Clash of the TitansŒæ
0,7.5,1441,Total RecallŒæ
0,6.6,1815,The 13th WarriorŒæ
31000,6.7,12175,The Bourne LegacyŒæ
0,3.7,2699,Batman & RobinŒæ
0,6,4146,How the Grinch Stole ChristmasŒæ
19000,6.4,20553,The Day After TomorrowŒæ
0,6.1,11930,Mission: Impossible IIŒæ
0,6.4,2684,The Perfect StormŒæ
0,5.6,15302,Fantastic 4: Rise of the Silver SurferŒæ
122000,8,2121,Life of PiŒæ
0,5.2,14017,Ghost RiderŒæ
31000,7.1,13752,Jason BourneŒæ
0,4.8,4046,Charlie's Angels: Full ThrottleŒæ
97000,7,24098,PrometheusŒæ
459,5.4,2682,Stuart Little 2Œæ
61000,6.6,17689,ElysiumŒæ
0,6.7,17159,The Chronicles of RiddickŒæ
60000,6.2,14161,RoboCopŒæ
0,6.1,902,Speed RacerŒæ
0,5.3,993,How Do You KnowŒæ
11000,6.3,12731,Knight and DayŒæ
71000,7,22004,OblivionŒæ
10000,7.6,44042,Star Wars: Episode III - Revenge of the SithŒæ
0,6.7,42990,Star Wars: Episode II - Attack of the ClonesŒæ
0,8.1,15013,"Monsters, Inc.Œæ"
68000,6.7,23755,The WolverineŒæ
13000,6.5,37723,Star Wars: Episode I - The Phantom MenaceŒæ
28000,7.3,43286,The CroodsŒæ
291,5.1,1609,Asterix at the Olympic GamesŒæ
0,6,15046,WindtalkersŒæ
16000,6.1,46719,The Huntsman: Winter's WarŒæ
62000,5.9,2690,Teenage Mutant Ninja TurtlesŒæ
147000,7.8,87,GravityŒæ
0,5.8,1569,Dante's PeakŒæ
12000,6.3,8306,Teenage Mutant Ninja Turtles: Out of the ShadowsŒæ
41000,4.3,1261,Fantastic FourŒæ
3000,6.4,55486,Night at the MuseumŒæ
52000,6.1,16718,San AndreasŒæ
0,6.5,2958,Tomorrow Never DiesŒæ
4000,7.1,19454,The PatriotŒæ
0,6.4,19359,Ocean's TwelveŒæ
0,6.5,22722,Mr. & Mrs. SmithŒæ
27000,6.3,22622,InsurgentŒæ
0,7.5,34582,The AviatorŒæ
0,4.9,1173,Gulliver's TravelsŒæ
14000,5.8,13391,The Green HornetŒæ
0,7.6,1655,The A-TeamŒæ            
71000,6.2,10583,300: Rise of an EmpireŒæ
31000,5.5,692,The SmurfsŒæ
304,5.4,13607,Home on the RangeŒæ
12000,5.8,12452,AllegiantŒæ
36000,7.1,22254,Real SteelŒæ
0,5.4,914,The Smurfs 2Œæ
894,3.7,2027,Speed 2: Cruise ControlŒæ
123000,6.7,12908,Ender's GameŒæ
0,7.2,13961,Live Free or Die HardŒæ
21000,8.8,22342,The Lord of the Rings: The Fellowship of the RingŒæ
0,5.8,3175,Around the World in 80 DaysŒæ
0,6.8,14196,AliŒæ
946,3.8,2762,The Cat in the HatŒæ
0,7.1,12068,"I, RobotŒæ"
0,7.2,19600,Kingdom of HeavenŒæ
0,5.9,3382,Stuart LittleŒæ
5000,7.1,2480,The Princess and the FrogŒæ
153000,8.1,14831,The MartianŒæ
0,7.2,5,"10,000 B.C.Œæ            "
0,6.9,34839,The IslandŒæ
53,4.4,3133,Town & CountryŒæ
0,6.5,29069,Gone in Sixty SecondsŒæ
21000,8.5,6521,GladiatorŒæ
0,7.7,12546,Minority ReportŒæ
0,7.4,35672,Harry Potter and the Chamber of SecretsŒæ
0,8,9125,Casino RoyaleŒæ
0,5.7,2776,Planet of the ApesŒæ
13000,8.5,2829,Terminator 2: Judgment DayŒæ
0,7,64599,Public EnemiesŒæ
0,7.8,20354,American GangsterŒæ
0,7.2,4528,True LiesŒæ
0,6.4,19906,The Taking of Pelham 1 2 3Œæ
0,5.5,24082,Little FockersŒæ
16000,6.7,20233,The Other GuysŒæ
0,6.1,3454,EraserŒæ
199000,8.5,40978,Django UnchainedŒæ
0,6.9,4842,The Hunchback of Notre DameŒæ
0,7.3,2039,The Emperor's New GrooveŒæ
108000,6.7,57881,The Expendables 2Œæ
0,6.9,13679,National TreasureŒæ
0,5.1,4487,EragonŒæ
11000,6.8,1738,Where the Wild Things AreŒæ
24000,5.8,21393,PanŒæ
17000,6.7,14552,EpicŒæ
25000,6,55175,The TouristŒæ
2000,5.7,3903,End of DaysŒæ
14000,8,33160,Blood DiamondŒæ
138000,8.2,46057,The Wolf of Wall StreetŒæ
0,5.4,2880,Batman ForeverŒæ
0,7.2,2031,Starship TroopersŒæ
124000,7.5,22686,Cloud AtlasŒæ
16000,7,4286,Legend of the Guardians: The Owls of Ga'HooleŒæ
0,3.3,3144,CatwomanŒæ
21000,6,16235,HerculesŒæ
0,7.1,26940,Treasure PlanetŒæ
0,5.4,10552,Land of the LostŒæ
56000,6.1,52610,The Expendables 3Œæ
37000,5.3,3962,Point BreakŒæ
881,2.2,1195,Son of the MaskŒæ
27000,7,28328,In the Heart of the SeaŒæ
416,3.8,6161,The Adventures of Pluto NashŒæ
0,6.9,13761,Green ZoneŒæ
33000,7.2,309,The Peanuts MovieŒæ
578,7.3,1722,The Spanish PrisonerŒæ
0,6.3,15972,The Mummy ReturnsŒæ
0,7.5,47657,Gangs of New YorkŒæ
13000,7.6,23240,The Flowers of WarŒæ
0,6.8,25590,Surf's UpŒæ
0,5.2,13748,The Stepford WivesŒæ
10000,7.7,4270,Black Hawk DownŒæ
18000,6.2,9271,The CampaignŒæ
18000,7.7,39319,The Fifth ElementŒæ
0,4.3,4555,Sex and the City 2Œæ
0,6.9,3372,The Road to El DoradoŒæ
14000,6.6,25354,Ice Age: Continental DriftŒæ
56000,7,4671,CinderellaŒæ
16000,6.7,2370,The Lovely BonesŒæ
11000,8.2,5641,Finding NemoŒæ
16000,8.9,6434,The Lord of the Rings: The Return of the KingŒæ
10000,8.7,23052,The Lord of the Rings: The Two TowersŒæ
16000,5.5,17098,Seventh SonŒæ
0,5.7,12150,Lara Croft: Tomb RaiderŒæ
37000,6.3,54031,TranscendenceŒæ
0,5.9,2574,Jurassic Park IIIŒæ
47000,7.6,13118,Rise of the Planet of the ApesŒæ
0,6.6,1614,The Spiderwick ChroniclesŒæ
66000,5.3,15481,A Good Day to Die HardŒæ
701,6,5780,The AlamoŒæ
0,8,1901,The IncrediblesŒæ
1000,5.6,3611,Cutthroat IslandŒæ
9000,5.9,14024,Percy Jackson & the Olympians: The Lightning ThiefŒæ
0,7.3,12998,Men in BlackŒæ
0,7.9,21275,Toy Story 2Œæ
18000,6.8,25780,UnstoppableŒæ
0,6.6,664,Rush Hour 2Œæ
0,6.6,12890,What Lies BeneathŒæ
0,7,1227,Cloudy with a Chance of MeatballsŒæ
0,7,1258,Ice Age: Dawn of the DinosaursŒæ
70000,7.3,5095,The Secret Life of Walter MittyŒæ
0,5.5,15419,Charlie's AngelsŒæ
29000,8.5,45648,The DepartedŒæ
12000,7.5,4478,MulanŒæ
0,7,23484,Tropic ThunderŒæ
54000,7.8,20388,The Girl with the Dragon TattooŒæ
0,7.6,14274,Die Hard with a VengeanceŒæ
20000,7.6,23996,Sherlock HolmesŒæ
0,6.1,13379,Ben-HurŒæ
0,6.8,15237,Atlantis: The Lost EmpireŒæ
0,5,38450,Alvin and the Chipmunks: The Road ChipŒæ
0,7.1,14165,ValkyrieŒæ
0,5.5,13446,You Don't Mess with the ZohanŒæ
39000,5.6,35367,PixelsŒæ
11000,7.1,6217,A.I. Artificial IntelligenceŒæ
988,4.9,2622,The Haunted MansionŒæ
15000,7.4,12289,ContactŒæ
0,5.7,2356,Hollow ManŒæ
0,6.4,2100,The InterpreterŒæ
28000,5.9,10882,Percy Jackson: Sea of MonstersŒæ
0,5.5,33154,Lara Croft Tomb Raider: The Cradle of LifeŒæ
15000,6.9,23031,Now You See Me 2Œæ
0,6.2,475,The SaintŒæ
0,7,12499,Spy GameŒæ
0,5.6,4902,Mission to MarsŒæ
19000,7,12071,RioŒæ
0,6.8,55254,Bicentennial ManŒæ
2000,5.4,5062,VolcanoŒæ
979,6.1,26088,The Devil's OwnŒæ
0,6.7,15149,K-19: The WidowmakerŒæ
41000,4.3,1261,Fantastic FourŒæ
0,6.9,2024,Conan the BarbarianŒæ
0,8,2523,Cinderella ManŒæ
788,4.4,2728,The Nutcracker in 3DŒæ
0,7.3,13808,SeabiscuitŒæ
0,6.3,26239,TwisterŒæ
14000,6.7,45327,The Fast and the FuriousŒæ
23000,7.7,15838,Cast AwayŒæ
0,6.5,70996,Happy FeetŒæ
0,7.8,14161,The Bourne SupremacyŒæ
0,6.4,23603,Air Force OneŒæ
0,7.8,13028,Ocean's ElevenŒæ
19000,5.8,27694,The Three MusketeersŒæ
28000,7.1,37142,Hotel TransylvaniaŒæ
0,7.1,662,EnchantedŒæ
59000,8.6,996,HannibalŒæ            
19000,6.8,36237,Safe HouseŒæ
372,4.8,4182,102 DalmatiansŒæ
0,6.2,3768,Tower HeistŒæ
19000,6.9,17423,The HolidayŒæ
0,7.3,11951,Enemy of the StateŒæ
0,6.6,15226,It's ComplicatedŒæ
0,6.9,43499,Ocean's ThirteenŒæ
863,6.2,6081,Open SeasonŒæ
49000,6.7,22226,DivergentŒæ
0,7.6,5103,Enemy at the GatesŒæ
0,6.7,16930,The RundownŒæ
0,6.2,2407,Last Action HeroŒæ
0,7.3,2380,Memoirs of a GeishaŒæ
0,6,1235,The Fast and the Furious: Tokyo DriftŒæ
0,7.1,2707,Arthur ChristmasŒæ
10000,7.1,23950,Meet Joe BlackŒæ
941,5.5,1460,Collateral DamageŒæ
0,7.8,1476,All That JazzŒæ
18000,5.6,11454,Mirror MirrorŒæ
36000,7.5,12687,Scott Pilgrim vs. the WorldŒæ
0,5.4,1439,The CoreŒæ
374,4.3,2818,Nutty Professor II: The KlumpsŒæ
0,4.9,6355,Scooby-DooŒæ
46000,7.1,578,DreddŒæ
7000,6.4,12700,ClickŒæ
0,6.9,2662,CreepshowŒæ
0,4.3,3326,Cats & Dogs: The Revenge of Kitty GaloreŒæ
0,6.1,21863,JumperŒæ
3000,7,3632,Hellboy II: The Golden ArmyŒæ
12000,7.7,36928,ZodiacŒæ
0,5.9,5839,The 6th DayŒæ
0,6.7,21276,Bruce AlmightyŒæ
57000,6.5,46355,The ExpendablesŒæ
0,7.1,12760,Mission: ImpossibleŒæ
140000,7.3,49942,The Hunger GamesŒæ
56000,6.5,16143,The Hangover Part IIŒæ
0,7,2899,Batman ReturnsŒæ
0,6.8,22813,Over the HedgeŒæ
0,7.2,3112,Lilo & StitchŒæ
0,6.4,23907,Charlotte's WebŒæ
0,6.1,22750,Deep ImpactŒæ
22000,6.7,25220,RED 2Œæ
0,6.4,13693,The Longest YardŒæ
0,4.4,4073,Alvin and the Chipmunks: ChipwreckedŒæ
14000,5.4,39269,Grown Ups 2Œæ
0,6.5,44798,Get SmartŒæ
0,6.7,22679,Something's Gotta GiveŒæ
53000,8.1,29585,Shutter IslandŒæ
0,5.6,9913,Four ChristmasesŒæ
0,6.3,1804,RobotsŒæ
11000,7.3,17087,Face/OffŒæ
0,6.1,12831,Bedtime StoriesŒæ
0,7.7,16828,Road to PerditionŒæ
19000,6.4,16325,Just Go with ItŒæ
55000,8.8,581,DaredevilŒæ            
0,6.8,15362,Con AirŒæ
0,6.6,5637,Eagle EyeŒæ
0,7.2,61110,Cold MountainŒæ
20000,6.9,44797,The Book of EliŒæ
0,5.2,50005,FlubberŒæ
0,4.9,17786,The HauntingŒæ
0,6.3,15001,Space JamŒæ
0,5.6,1267,The Pink PantherŒæ
0,5.5,22194,The Day the Earth Stood StillŒæ
0,6.7,8355,Conspiracy TheoryŒæ
82000,7.6,20411,FuryŒæ
0,5.7,12729,Six Days Seven NightsŒæ
0,4.6,4394,Yogi BearŒæ
4000,7,14261,Spirit: Stallion of the CimarronŒæ
0,5.2,5392,ZookeeperŒæ
0,5.1,12186,Lost in SpaceŒæ
0,6.6,20056,The Manchurian CandidateŒæ
91,7,1753,Dí©jíæ VuŒæ
16000,6.7,26839,Hotel Transylvania 2Œæ
0,7.6,2614,BewitchedŒæ            
607,7.3,814,Fantasia 2000Œæ
3000,5.9,1919,The Time MachineŒæ
0,5.6,10731,Mighty Joe YoungŒæ
0,6.5,25942,SwordfishŒæ
951,5.9,2864,The Legend of ZorroŒæ
32000,7,49631,What Dreams May ComeŒæ
0,5.3,25190,Little NickyŒæ
0,5.9,27114,The Brothers GrimmŒæ
0,6.3,22590,Mars Attacks!Œæ
257,6.4,54,EvolutionŒæ
0,6.9,14831,The EdgeŒæ
0,6.3,18132,SurrogatesŒæ
0,7.3,1825,Thirteen DaysŒæ
0,5.8,25126,DaylightŒæ
0,5.2,1971,Walking with Dinosaurs 3DŒæ
0,2.4,971,Battlefield EarthŒæ
665,5.7,5593,Looney Tunes: Back in ActionŒæ
0,5.8,619,NineŒæ
0,5.6,43887,TimelineŒæ
0,6,4346,The PostmanŒæ
964,5.8,2521,Babe: Pig in the CityŒæ
21000,6,16922,The Last Witch HunterŒæ
995,5.7,2,Red PlanetŒæ
941,6,683,Arthur and the InvisiblesŒæ
0,7.8,152,OceansŒæ
785,4.2,1890,A Sound of ThunderŒæ
20000,5.6,1099,PompeiiŒæ
138,4.4,370,Top Cat BeginsŒæ
29000,8.2,2827,A Beautiful MindŒæ
17000,8.5,6458,The Lion KingŒæ
0,5.8,27842,Journey 2: The Mysterious IslandŒæ
15000,6.5,848,Cloudy with a Chance of Meatballs 2Œæ
0,7.2,35867,Red DragonŒæ
0,6.7,36925,HidalgoŒæ
0,3.4,27405,Jack and JillŒæ
0,5.9,25296,2 Fast 2 FuriousŒæ
31000,7.8,30230,The Little PrinceŒæ
0,5.9,2323,The InvasionŒæ
413,4.1,28050,The Adventures of Rocky & BullwinkleŒæ
36000,6.8,4782,The Secret Life of PetsŒæ
0,5.8,4714,The League of Extraordinary GentlemenŒæ
56000,7.5,11905,Despicable Me 2Œæ
16000,6.9,16785,Independence DayŒæ
0,6.5,1635,The Lost World: Jurassic ParkŒæ
0,6.9,1777,MadagascarŒæ
17000,7.9,16479,Children of MenŒæ
0,7.4,21397,X-MenŒæ
0,6.7,25763,WantedŒæ
51000,7.4,15999,The RockŒæ
0,6.9,1815,Ice Age: The MeltdownŒæ
11000,6.8,12952,50 First DatesŒæ
0,6.7,1673,HairsprayŒæ
893,5.1,1970,Exorcist: The BeginningŒæ
509,4.1,5320,Inspector GadgetŒæ
105000,7.3,13312,Now You See MeŒæ
12000,6,28497,Grown UpsŒæ
16000,7.3,16199,The TerminalŒæ
10000,7.5,1990,ConstantineŒæ            
1000,5.4,5174,Hotel for DogsŒæ
0,5.9,3424,Vertical LimitŒæ
0,7.1,60646,Charlie Wilson's WarŒæ
0,6,63165,Shark TaleŒæ
0,6.5,2856,DreamgirlsŒæ
0,8.3,504,LifeŒæ            
0,5.7,15889,Be CoolŒæ
0,7.6,2529,MunichŒæ
0,6.6,16580,Tears of the SunŒæ
0,5.4,25206,KillersŒæ
43000,7.3,15735,The Man from U.N.C.L.E.Œæ
0,6.5,12522,SpanglishŒæ
0,6.6,17299,Monster HouseŒæ
0,6.6,13934,BanditsŒæ
0,5.9,1695,First KnightŒæ
0,6.7,804,Anna and the KingŒæ
30000,6.1,16691,ImmortalsŒæ
0,6.6,103354,HostageŒæ
0,6.6,15857,Titan A.E.Œæ
648,5.3,14028,Hollywood HomicideŒæ
0,6,2542,SoldierŒæ
0,6,4368,CarriersŒæ
683,4.7,5580,MonkeyboneŒæ
1000,6.1,4397,Flight of the PhoenixŒæ
0,7.2,33645,UnbreakableŒæ
70000,6.4,13616,MinionsŒæ
42000,6.1,7067,Sucker PunchŒæ
880,5.9,15269,Snake EyesŒæ
0,6,1044,SphereŒæ
14000,6.3,24350,The Angry Birds MovieŒæ
0,5.6,13827,Fool's GoldŒæ
0,6.4,11852,Funny PeopleŒæ
0,7.1,5187,The KingdomŒæ
0,6.6,12410,Talladega Nights: The Ballad of Ricky BobbyŒæ
266,4.6,3287,Dr. Dolittle 2Œæ
17000,8.4,1976,BraveheartŒæ
0,7.1,15850,JarheadŒæ
0,7.4,3086,The Simpsons MovieŒæ
0,6.9,4310,The MajesticŒæ
886,4.5,14780,DrivenŒæ
2000,7.1,55,Two BrothersŒæ
0,6.5,7273,The VillageŒæ
694,5.3,4166,Doctor DolittleŒæ
0,6.7,1675,SignsŒæ
0,7.2,1148,Shrek 2Œæ
0,7.2,4905,CarsŒæ
0,5.5,12790,Runaway BrideŒæ
10000,5.8,14790,xXxŒæ
16000,6,5217,The SpongeBob Movie: Sponge Out of WaterŒæ
1000,6.6,3667,RansomŒæ
42000,8.3,36741,Inglourious BasterdsŒæ
13000,6.7,64259,HookŒæ
21000,6,16235,HerculesŒæ
0,7.1,16595,Die Hard 2Œæ
0,6,14486,S.W.A.T.Œæ
14000,7.5,1430,Sleepy HollowŒæ            
0,6.9,11458,Vanilla SkyŒæ
0,5.6,5609,Lady in the WaterŒæ
0,5.6,3222,AVP: Alien vs. PredatorŒæ
2000,4.5,5227,Alvin and the Chipmunks: The SqueakquelŒæ
5000,7.1,6181,We Were SoldiersŒæ
45000,6.5,31782,Olympus Has FallenŒæ
1000,6.4,6207,Star Trek: InsurrectionŒæ
25000,5.8,4001,Battle Los AngelesŒæ
26000,8,16138,Big FishŒæ
0,6.2,1439,WolfŒæ
28000,7.2,46726,War HorseŒæ
34000,6.1,27674,The Monuments MenŒæ
0,7.6,4074,The AbyssŒæ
13000,6.3,1579,Wall Street: Money Never SleepsŒæ
37000,6.3,5178,Dracula UntoldŒæ
