num_critic_for_reviews,num_user_for_reviews,movie_title
135,258,Fun with Dick and JaneåÊ
190,928,The Last SamuraiåÊ
314,657,Exodus: Gods and KingsåÊ
518,1559,Star TrekåÊ
291,2012,Spider-ManåÊ
292,343,How to Train Your Dragon 2åÊ
184,273,Gods of EgyptåÊ
145,388,StealthåÊ
451,1229,WatchmenåÊ
141,287,Lethal Weapon 4åÊ
267,1445,HulkåÊ
351,288,G.I. Joe: RetaliationåÊ
163,463,SaharaåÊ
166,788,Final Fantasy: The Spirits WithinåÊ
510,679,Captain America: The First AvengeråÊ
197,683,The World Is Not EnoughåÊ
244,684,Master and Commander: The Far Side of the WorldåÊ
322,329,The Twilight Saga: Breaking Dawn - Part 2åÊ
156,79,Happy Feet 2åÊ
354,643,The Incredible HulkåÊ
21,74,Miami ViceåÊ            
252,106,The BFGåÊ
556,1188,The RevenantåÊ
166,90,TurboåÊ
362,337,RangoåÊ
153,118,Penguins of MadagascaråÊ
329,820,The Bourne UltimatumåÊ
266,360,Kung Fu PandaåÊ
517,549,Ant-ManåÊ
502,706,The Hunger Games: Catching FireåÊ
322,329,The Twilight Saga: Breaking Dawn - Part 2åÊ
165,214,HomeåÊ
401,2741,War of the WorldsåÊ
94,511,Bad Boys IIåÊ
246,137,Puss in BootsåÊ
330,514,SaltåÊ
434,1240,NoahåÊ
440,447,The Adventures of TintinåÊ
274,1504,Harry Potter and the Prisoner of AzkabanåÊ
245,450,AustraliaåÊ
349,744,After EarthåÊ
145,241,DinosauråÊ
1,2,Harry Potter and the Deathly Hallows: Part IIåÊ
154,126,Night at the Museum: Secret of the TombåÊ
233,187,MegamindåÊ
258,1571,Harry Potter and the Sorcerer's StoneåÊ
208,210,R.I.P.D.åÊ
1,13,Godzilla ResurgenceåÊ
271,2113,Pirates of the Caribbean: The Curse of the Black PearlåÊ
4,2,Harry Potter and the Deathly Hallows: Part IåÊ
403,591,The Hunger Games: Mockingjay - Part 1åÊ
294,1966,The Da Vinci CodeåÊ
159,99,Rio 2åÊ
289,1055,X-Men 2åÊ
342,366,Fast FiveåÊ
382,412,Sherlock Holmes: A Game of ShadowsåÊ
344,637,Clash of the TitansåÊ
196,391,Total RecallåÊ
85,546,The 13th WarrioråÊ
436,504,The Bourne LegacyåÊ
183,1018,Batman & RobinåÊ
175,482,How the Grinch Stole ChristmasåÊ
239,1159,The Day After TomorrowåÊ
237,1426,Mission: Impossible IIåÊ
231,779,The Perfect StormåÊ
262,436,Fantastic 4: Rise of the Silver SurferåÊ
552,755,Life of PiåÊ
276,681,Ghost RideråÊ
267,297,Jason BourneåÊ
102,554,Charlie's Angels: Full ThrottleåÊ
775,2326,PrometheusåÊ
71,69,Stuart Little 2åÊ
476,814,ElysiumåÊ
207,666,The Chronicles of RiddickåÊ
492,630,RoboCopåÊ
284,414,Speed RaceråÊ
168,196,How Do You KnowåÊ
283,348,Knight and DayåÊ
539,892,OblivionåÊ
359,3286,Star Wars: Episode III - Revenge of the SithåÊ
284,3516,Star Wars: Episode II - Attack of the ClonesåÊ
250,593,"Monsters, Inc.åÊ"
440,533,The WolverineåÊ
320,3597,Star Wars: Episode I - The Phantom MenaceåÊ
257,195,The CroodsåÊ
33,36,Asterix at the Olympic GamesåÊ
152,454,WindtalkersåÊ
231,134,The Huntsman: Winter's WaråÊ
348,491,Teenage Mutant Ninja TurtlesåÊ
738,1885,GravityåÊ
93,277,Dante's PeakåÊ
181,115,Teenage Mutant Ninja Turtles: Out of the ShadowsåÊ
369,695,Fantastic FouråÊ
179,444,Night at the MuseumåÊ
358,499,San AndreasåÊ
160,328,Tomorrow Never DiesåÊ
192,1144,The PatriotåÊ
198,627,Ocean's TwelveåÊ
233,798,Mr. & Mrs. SmithåÊ
263,258,InsurgentåÊ
267,799,The AviatoråÊ
184,121,Gulliver's TravelsåÊ
447,443,The Green HornetåÊ
29,97,The A-TeamåÊ            
366,523,300: Rise of an EmpireåÊ
172,153,The SmurfsåÊ
104,88,Home on the RangeåÊ
181,144,AllegiantåÊ
327,426,Real SteelåÊ
125,59,The Smurfs 2åÊ
79,248,Speed 2: Cruise ControlåÊ
326,554,Ender's GameåÊ
354,782,Live Free or Die HardåÊ
297,5060,The Lord of the Rings: The Fellowship of the RingåÊ
188,191,Around the World in 80 DaysåÊ
174,386,AliåÊ
109,456,The Cat in the HatåÊ
225,789,"I, RobotåÊ"
239,942,Kingdom of HeavenåÊ
101,179,Stuart LittleåÊ
228,214,The Princess and the FrogåÊ
568,1023,The MartianåÊ
,,"10,000 B.C.åÊ            "
257,899,The IslandåÊ
62,89,Town & CountryåÊ
175,498,Gone in Sixty SecondsåÊ
265,2368,GladiatoråÊ
252,1331,Minority ReportåÊ
232,858,Harry Potter and the Chamber of SecretsåÊ
400,2301,Casino RoyaleåÊ
230,1368,Planet of the ApesåÊ
210,983,Terminator 2: Judgment DayåÊ
357,585,Public EnemiesåÊ
300,458,American GangsteråÊ
94,351,True LiesåÊ
267,285,The Taking of Pelham 1 2 3åÊ
180,152,Little FockersåÊ
265,316,The Other GuysåÊ
81,131,EraseråÊ
765,1193,Django UnchainedåÊ
80,230,The Hunchback of Notre DameåÊ
141,297,The Emperor's New GrooveåÊ
383,474,The Expendables 2åÊ
193,692,National TreasureåÊ
170,1690,EragonåÊ
333,388,Where the Wild Things AreåÊ
256,186,PanåÊ
203,113,EpicåÊ
321,374,The TouriståÊ
174,524,End of DaysåÊ
166,657,Blood DiamondåÊ
606,1138,The Wolf of Wall StreetåÊ
144,539,Batman ForeveråÊ
192,1049,Starship TroopersåÊ
511,828,Cloud AtlasåÊ
188,160,Legend of the Guardians: The Owls of Ga'HooleåÊ
212,660,CatwomanåÊ
245,269,HerculesåÊ
127,217,Treasure PlanetåÊ
167,224,Land of the LoståÊ
320,351,The Expendables 3åÊ
163,163,Point BreakåÊ
78,239,Son of the MaskåÊ
289,161,In the Heart of the SeaåÊ
66,164,The Adventures of Pluto NashåÊ
266,261,Green ZoneåÊ
208,155,The Peanuts MovieåÊ
97,263,The Spanish PrisoneråÊ
202,890,The Mummy ReturnsåÊ
233,1166,Gangs of New YorkåÊ
136,130,The Flowers of WaråÊ
154,112,Surf's UpåÊ
169,407,The Stepford WivesåÊ
200,1103,Black Hawk DownåÊ
255,177,The CampaignåÊ
173,742,The Fifth ElementåÊ
221,293,Sex and the City 2åÊ
82,139,The Road to El DoradoåÊ
233,139,Ice Age: Continental DriftåÊ
343,322,CinderellaåÊ
308,593,The Lovely BonesåÊ
301,866,Finding NemoåÊ
328,3189,The Lord of the Rings: The Return of the KingåÊ
294,2417,The Lord of the Rings: The Two TowersåÊ
175,154,Seventh SonåÊ
199,824,Lara Croft: Tomb RaideråÊ
355,462,TranscendenceåÊ
198,1236,Jurassic Park IIIåÊ
529,646,Rise of the Planet of the ApesåÊ
198,125,The Spiderwick ChroniclesåÊ
412,503,A Good Day to Die HardåÊ
106,267,The AlamoåÊ
283,815,The IncrediblesåÊ
61,169,Cutthroat IslandåÊ
217,419,Percy Jackson & the Olympians: The Lightning ThiefåÊ
175,289,Men in BlackåÊ
191,515,Toy Story 2åÊ
316,326,UnstoppableåÊ
127,394,Rush Hour 2åÊ
185,683,What Lies BeneathåÊ
191,156,Cloudy with a Chance of MeatballsåÊ
188,132,Ice Age: Dawn of the DinosaursåÊ
362,515,The Secret Life of Walter MittyåÊ
181,643,Charlie's AngelsåÊ
352,2054,The DepartedåÊ
143,222,MulanåÊ
308,577,Tropic ThunderåÊ
517,632,The Girl with the Dragon TattooåÊ
148,346,Die Hard with a VengeanceåÊ
415,621,Sherlock HolmesåÊ
1,1,Ben-HuråÊ
146,289,Atlantis: The Lost EmpireåÊ
70,53,Alvin and the Chipmunks: The Road ChipåÊ
269,440,ValkyrieåÊ
198,380,You Don't Mess with the ZohanåÊ
253,342,PixelsåÊ
281,2153,A.I. Artificial IntelligenceåÊ
122,179,The Haunted MansionåÊ
159,611,ContactåÊ
180,628,Hollow ManåÊ
227,411,The InterpreteråÊ
183,204,Percy Jackson: Sea of MonstersåÊ
157,316,Lara Croft Tomb Raider: The Cradle of LifeåÊ
196,139,Now You See Me 2åÊ
64,184,The SaintåÊ
142,361,Spy GameåÊ
181,949,Mission to MarsåÊ
240,186,RioåÊ
93,362,Bicentennial ManåÊ
84,181,VolcanoåÊ
66,114,The Devil's OwnåÊ
136,278,K-19: The WidowmakeråÊ
369,695,Fantastic FouråÊ
166,337,Conan the BarbarianåÊ
201,529,Cinderella ManåÊ
47,24,The Nutcracker in 3DåÊ
175,455,SeabiscuitåÊ
114,395,TwisteråÊ
187,988,The Fast and the FuriousåÊ
221,1051,Cast AwayåÊ
206,548,Happy FeetåÊ
239,806,The Bourne SupremacyåÊ
142,393,Air Force OneåÊ
186,845,Ocean's ElevenåÊ
228,254,The Three MusketeersåÊ
256,168,Hotel TransylvaniaåÊ
222,399,EnchantedåÊ
103,270,HannibalåÊ            
298,276,Safe HouseåÊ
84,77,102 DalmatiansåÊ
236,194,Tower HeiståÊ
157,483,The HolidayåÊ
81,415,Enemy of the StateåÊ
187,214,It's ComplicatedåÊ
238,288,Ocean's ThirteenåÊ
107,100,Open SeasonåÊ
459,713,DivergentåÊ
187,662,Enemy at the GatesåÊ
151,255,The RundownåÊ
80,257,Last Action HeroåÊ
229,548,Memoirs of a GeishaåÊ
158,378,The Fast and the Furious: Tokyo DriftåÊ
190,78,Arthur ChristmasåÊ
98,703,Meet Joe BlackåÊ
135,339,Collateral DamageåÊ
84,146,All That JazzåÊ
382,208,Mirror MirroråÊ
393,522,Scott Pilgrim vs. the WorldåÊ
149,466,The CoreåÊ
94,171,Nutty Professor II: The KlumpsåÊ
138,521,Scooby-DooåÊ
432,588,DreddåÊ
173,685,ClickåÊ
127,211,CreepshowåÊ
91,63,Cats & Dogs: The Revenge of Kitty GaloreåÊ
238,488,JumperåÊ
345,342,Hellboy II: The Golden ArmyåÊ
377,589,ZodiacåÊ
170,289,The 6th DayåÊ
191,604,Bruce AlmightyåÊ
424,741,The ExpendablesåÊ
154,378,Mission: ImpossibleåÊ
673,1959,The Hunger GamesåÊ
383,402,The Hangover Part IIåÊ
153,610,Batman ReturnsåÊ
166,250,Over the HedgeåÊ
180,367,Lilo & StitchåÊ
120,102,Charlotte's WebåÊ
125,493,Deep ImpactåÊ
234,205,RED 2åÊ
134,316,The Longest YardåÊ
91,56,Alvin and the Chipmunks: ChipwreckedåÊ
139,255,Grown Ups 2åÊ
265,380,Get SmartåÊ
145,402,Something's Gotta GiveåÊ
490,964,Shutter IslandåÊ
141,124,Four ChristmasesåÊ
163,269,RobotsåÊ
155,535,Face/OffåÊ
144,116,Bedtime StoriesåÊ
226,1009,Road to PerditionåÊ
204,203,Just Go with ItåÊ
95,394,DaredevilåÊ            
139,339,Con AiråÊ
215,318,Eagle EyeåÊ
198,674,Cold MountainåÊ
325,560,The Book of EliåÊ
53,64,FlubberåÊ
167,805,The HauntingåÊ
46,123,Space JamåÊ
147,424,The Pink PantheråÊ
276,698,The Day the Earth Stood StillåÊ
80,162,Conspiracy TheoryåÊ
406,701,FuryåÊ
97,164,Six Days Seven NightsåÊ
143,100,Yogi BearåÊ
106,216,Spirit: Stallion of the CimarronåÊ
178,127,ZookeeperåÊ
102,370,Lost in SpaceåÊ
209,363,The Manchurian CandidateåÊ
19,40,DÌ©jÌÊ VuåÊ
152,97,Hotel Transylvania 2åÊ
31,71,BewitchedåÊ            
129,186,Fantasia 2000åÊ
124,615,The Time MachineåÊ
35,88,Mighty Joe YoungåÊ
166,543,SwordfishåÊ
137,244,The Legend of ZorroåÊ
121,619,What Dreams May ComeåÊ
87,237,Little NickyåÊ
233,492,The Brothers GrimmåÊ
132,405,Mars Attacks!åÊ
63,3,EvolutionåÊ
95,182,The EdgeåÊ
258,252,SurrogatesåÊ
162,315,Thirteen DaysåÊ
61,101,DaylightåÊ
113,66,Walking with Dinosaurs 3DåÊ
174,1308,Battlefield EarthåÊ
101,160,Looney Tunes: Back in ActionåÊ
205,232,NineåÊ
123,457,TimelineåÊ
79,376,The PostmanåÊ
61,216,Babe: Pig in the CityåÊ
202,117,The Last Witch HunteråÊ
145,348,Red PlanetåÊ
101,64,Arthur and the InvisiblesåÊ
113,42,OceansåÊ
113,301,A Sound of ThunderåÊ
272,308,PompeiiåÊ
3,1,Top Cat BeginsåÊ
205,1171,A Beautiful MindåÊ
186,656,The Lion KingåÊ
178,133,Journey 2: The Mysterious IslandåÊ
169,85,Cloudy with a Chance of Meatballs 2åÊ
210,764,Red DragonåÊ
140,345,HidalgoåÊ
156,264,Jack and JillåÊ
150,370,2 Fast 2 FuriousåÊ
119,64,The Little PrinceåÊ
232,273,The InvasionåÊ
49,197,The Adventures of Rocky & BullwinkleåÊ
165,155,The Secret Life of PetsåÊ
202,786,The League of Extraordinary GentlemenåÊ
306,284,Despicable Me 2åÊ
185,856,Independence DayåÊ
177,552,The Lost World: Jurassic ParkåÊ
181,385,MadagascaråÊ
372,1206,Children of MenåÊ
290,1401,X-MenåÊ
316,713,WantedåÊ
122,415,The RockåÊ
164,253,Ice Age: The MeltdownåÊ
147,456,50 First DatesåÊ
219,401,HairsprayåÊ
167,308,Exorcist: The BeginningåÊ
70,231,Inspector GadgetåÊ
384,629,Now You See MeåÊ
179,311,Grown UpsåÊ
151,596,The TerminalåÊ
12,94,ConstantineåÊ            
107,57,Hotel for DogsåÊ
134,379,Vertical LimitåÊ
269,289,Charlie Wilson's WaråÊ
143,288,Shark TaleåÊ
241,503,DreamgirlsåÊ
12,67,LifeåÊ            
161,323,Be CoolåÊ
298,824,MunichåÊ
89,394,Tears of the SunåÊ
140,120,KillersåÊ
362,360,The Man from U.N.C.L.E.åÊ
124,342,SpanglishåÊ
190,229,Monster HouseåÊ
132,261,BanditsåÊ
53,180,First KnightåÊ
91,217,Anna and the KingåÊ
284,405,ImmortalsåÊ
152,288,HostageåÊ
131,377,Titan A.E.åÊ
132,254,Hollywood HomicideåÊ
67,373,SoldieråÊ
130,119,CarriersåÊ
74,171,MonkeyboneåÊ
114,222,Flight of the PhoenixåÊ
294,1344,UnbreakableåÊ
308,275,MinionsåÊ
435,918,Sucker PunchåÊ
117,241,Snake EyesåÊ
108,274,SphereåÊ
141,126,The Angry Birds MovieåÊ
176,138,Fool's GoldåÊ
230,301,Funny PeopleåÊ
234,289,The KingdomåÊ
164,437,Talladega Nights: The Ballad of Ricky BobbyåÊ
91,79,Dr. Dolittle 2åÊ
132,1065,BraveheartåÊ
262,657,JarheadåÊ
299,763,The Simpsons MovieåÊ
128,376,The MajesticåÊ
109,346,DrivenåÊ
88,124,Two BrothersåÊ
261,2003,The VillageåÊ
73,98,Doctor DolittleåÊ
208,2335,SignsåÊ
205,483,Shrek 2åÊ
256,584,CarsåÊ
103,255,Runaway BrideåÊ
191,737,xXxåÊ
147,133,The SpongeBob Movie: Sponge Out of WateråÊ
79,158,RansomåÊ
486,1527,Inglourious BasterdsåÊ
75,363,HookåÊ
245,269,HerculesåÊ
142,316,Die Hard 2åÊ
144,340,S.W.A.T.åÊ
39,110,Sleepy HollowåÊ            
153,1248,Vanilla SkyåÊ
284,1040,Lady in the WateråÊ
247,1283,AVP: Alien vs. PredatoråÊ
107,98,Alvin and the Chipmunks: The SqueakquelåÊ
141,742,We Were SoldiersåÊ
358,698,Olympus Has FallenåÊ
160,515,Star Trek: InsurrectionåÊ
355,800,Battle Los AngelesåÊ
235,816,Big FishåÊ
59,137,WolfåÊ
388,488,War HorseåÊ
371,403,The Monuments MenåÊ
82,380,The AbyssåÊ
297,245,Wall Street: Money Never SleepsåÊ
261,423,Dracula UntoldåÊ
120,281,The SiegeåÊ
228,492,StarduståÊ
76,119,Seven Years in TibetåÊ
185,141,The DilemmaåÊ
128,189,Bad CompanyåÊ
237,814,DoomåÊ
105,141,I SpyåÊ
242,271,Underworld: AwakeningåÊ
360,356,Rock of AgesåÊ
112,196,Hart's WaråÊ
189,157,Killer EliteåÊ
151,289,RollerballåÊ
92,277,Ballistic: Ecks vs. SeveråÊ
79,126,Hard RainåÊ
81,123,Osmosis JonesåÊ
51,54,Legends of Oz: Dorothy's ReturnåÊ
261,207,BlackhatåÊ
197,618,Sky Captain and the World of TomorrowåÊ
159,313,Basic Instinct 2åÊ
286,279,Escape PlanåÊ
156,202,The Legend of HerculesåÊ
176,568,The Sum of All FearsåÊ
293,498,The Twilight Saga: EclipseåÊ
141,445,The ScoreåÊ
304,296,Despicable MeåÊ
40,62,Money TrainåÊ
280,229,Ted 2åÊ
180,172,AgoraåÊ
125,435,Mystery MenåÊ
237,143,Hall PassåÊ
209,521,The InsideråÊ
178,113,The Finest HoursåÊ
238,263,Body of LiesåÊ
190,264,Dinner for SchmucksåÊ
393,348,Abraham Lincoln: Vampire HunteråÊ
138,274,EntrapmentåÊ
4,87,Last Man StandingåÊ            
142,297,The X FilesåÊ
90,174,The Last LegionåÊ
219,2277,Saving Private RyanåÊ
327,346,Need for SpeedåÊ
149,395,What Women WantåÊ
193,467,Ice AgeåÊ
175,662,DreamcatcheråÊ
538,720,LincolnåÊ
313,3646,The MatrixåÊ
159,296,Apollo 13åÊ
196,391,Total RecallåÊ
80,116,The Santa Clause 2åÊ
488,845,Les MisÌ©rablesåÊ
153,556,You've Got MailåÊ
173,277,Step BrothersåÊ
156,318,The Mask of ZorroåÊ
307,285,Due DateåÊ
322,351,UnbrokenåÊ
169,326,Space CowboysåÊ
74,172,CliffhangeråÊ
72,189,Broken ArrowåÊ
86,139,The KidåÊ
242,564,World Trade CenteråÊ
141,264,Mona Lisa SmileåÊ
313,310,The DictatoråÊ
280,1500,Eyes Wide ShutåÊ
176,213,AnnieåÊ
279,221,FocusåÊ
241,238,This Means WaråÊ
185,514,Blade: TrinityåÊ
97,383,Red DawnåÊ
117,157,Primary ColorsåÊ
239,423,Resident Evil: RetributionåÊ
230,211,Death RaceåÊ
94,285,The Long Kiss GoodnightåÊ
134,265,Proof of LifeåÊ
136,202,Zathura: A Space AdventureåÊ
315,2968,Fight ClubåÊ
96,175,We Are MarshallåÊ
14,28,The MissingåÊ            
60,249,Hudson HawkåÊ
60,69,Lucky NumbersåÊ
308,194,"I, FrankensteinåÊ"
127,138,Oliver TwiståÊ
196,380,ElektraåÊ
339,239,Sin City: A Dame to Kill ForåÊ
96,290,Random HeartsåÊ
361,265,EvereståÊ
226,482,Perfume: The Story of a MurdereråÊ
194,795,Austin Powers in GoldmemberåÊ
138,77,Astro BoyåÊ
308,895,Jurassic ParkåÊ
40,145,Wyatt EarpåÊ
42,133,Clear and Present DangeråÊ
68,86,Dragon BladeåÊ
78,187,LittlemanåÊ
178,602,U-571åÊ
75,214,The American PresidentåÊ
150,250,The Love GuruåÊ
113,399,3000 Miles to GracelandåÊ
596,1018,The Hateful EightåÊ
191,246,Blades of GloryåÊ
156,82,HopåÊ
460,2073,300åÊ
141,428,Meet the FockersåÊ
180,320,Marley & MeåÊ
186,1377,The Green MileåÊ
177,255,Wild HogsåÊ
161,251,Chicken LittleåÊ
568,1127,Gone GirlåÊ
249,849,The Bourne IdentityåÊ
137,416,GoldenEyeåÊ
113,274,The General's DaughteråÊ
213,877,The Truman ShowåÊ
120,353,The Prince of EgyptåÊ
81,116,Daddy Day CareåÊ
265,172,2 GunsåÊ
105,235,Cats & DogsåÊ
155,497,The Italian JobåÊ
118,269,Two Weeks NoticeåÊ
131,289,AntzåÊ
166,144,Couples RetreatåÊ
60,97,Days of ThunderåÊ
77,128,Cheaper by the Dozen 2åÊ
249,360,The Scorch TrialsåÊ
213,302,Eat Pray LoveåÊ
121,322,The Family ManåÊ
315,328,REDåÊ
171,452,Any Given SundayåÊ
96,263,The Horse WhispereråÊ
299,836,CollateralåÊ
167,432,The Scorpion KingåÊ
125,323,Ladder 49åÊ
387,448,Jack ReacheråÊ
199,643,Deep Blue SeaåÊ
136,223,This Is ItåÊ
436,411,ContagionåÊ
73,181,Kangaroo JackåÊ
310,279,CoralineåÊ
323,1264,The HappeningåÊ
171,690,Man on FireåÊ
76,83,The Shaggy DogåÊ
173,308,Starsky & HutchåÊ
81,162,Jingle All the WayåÊ
242,597,HellboyåÊ
110,181,A Civil ActionåÊ
328,176,ParaNormanåÊ
83,227,The JackalåÊ
196,347,PaycheckåÊ
34,54,Up Close & PersonalåÊ
118,106,The Tale of DespereauxåÊ
8,41,Rules of EngagementåÊ            
81,207,The TuxedoåÊ
47,126,Under Siege 2: Dark TerritoryåÊ
313,289,Jack Ryan: Shadow RecruitåÊ
315,256,JoyåÊ
225,323,London Has FallenåÊ
223,656,Alien: ResurrectionåÊ
198,338,ShooteråÊ
219,122,The BoxtrollsåÊ
92,257,Practical MagicåÊ
435,471,The Lego MovieåÊ
111,156,Miss Congeniality 2: Armed and FabulousåÊ
138,569,Reign of FireåÊ
415,264,Gangster SquadåÊ
170,203,Year OneåÊ
306,259,InvictusåÊ
252,235,State of PlayåÊ
211,184,DuplicityåÊ
49,73,My Favorite MartianåÊ
161,213,The SentinelåÊ
156,72,Planet 51åÊ
172,842,Star Trek: NemesisåÊ
161,322,Intolerable CrueltyåÊ
239,150,Trouble with the CurveåÊ
258,256,Edge of DarknessåÊ
95,165,The RelicåÊ
105,138,Analyze ThatåÊ
198,248,Righteous KillåÊ
79,127,Mercury RisingåÊ
210,143,The SoloiståÊ
125,267,The Legend of Bagger VanceåÊ
149,822,Almost FamousåÊ
77,74,Garfield 2åÊ
77,213,xXx: State of the UnionåÊ
225,233,PrieståÊ
98,91,Sinbad: Legend of the Seven SeasåÊ
172,857,Event HorizonåÊ
703,1722,The AvengersåÊ
117,243,DragonflyåÊ
240,644,The Black DahliaåÊ
123,247,FlyboysåÊ
110,281,The Last CastleåÊ
100,282,SupernovaåÊ
189,126,Winter's TaleåÊ
212,457,The Mortal Instruments: City of BonesåÊ
127,109,Meet DaveåÊ
