budget,imdb_score,duration,movie_title
190000000,7,123,World War Zξ
200000000,8,149,X-Men: Days of Future Pastξ
190000000,7.8,132,Star Trek Into Darknessξ
195000000,6.3,114,Jack the Giant Slayerξ
105000000,7.3,143,The Great Gatsbyξ
200000000,6.6,116,Prince of Persia: The Sands of Timeξ
190000000,7,131,Pacific Rimξ
195000000,6.3,154,Transformers: Dark of the Moonξ
185000000,6.2,122,Indiana Jones and the Kingdom of the Crystal Skullξ
,6.8,93,The Good Dinosaurξ
185000000,7.2,93,Braveξ
185000000,7.5,122,Star Trek Beyondξ
180000000,8.4,98,WALL��Eξ
140000000,6.2,91,Rush Hour 3ξ
200000000,5.8,158,2012ξ
200000000,6.8,96,A Christmas Carolξ
176000000,5.4,127,Jupiter Ascendingξ
180000000,6.6,110,The Legend of Tarzanξ
180000000,6.9,150,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobeξ"
178000000,7.3,144,X-Men: Apocalypseξ
185000000,9,152,The Dark Knightξ
175000000,8.3,96,Upξ
175000000,6.5,94,Monsters vs. Aliensξ
140000000,7.9,126,Iron Manξ
170000000,7.5,126,Hugoξ
170000000,4.8,106,Wild Wild Westξ
145000000,5.2,112,The Mummy: Tomb of the Dragon Emperorξ
175000000,6.9,123,Suicide Squadξ
175000000,5.4,96,Evan Almightyξ
178000000,7.9,113,Edge of Tomorrowξ
175000000,6.1,176,Waterworldξ
175000000,5.8,118,G.I. Joe: The Rise of Cobraξ
175000000,8.3,95,Inside Outξ
175000000,7.8,106,The Jungle Bookξ
200000000,7,124,Iron Man 2ξ
170000000,6.1,132,Snow White and the Huntsmanξ
180000000,7,97,Maleficentξ
170000000,7.6,130,Dawn of the Planet of the Apesξ
,4.5,109,The Loversξ
175000000,6.3,128,47 Roninξ
170000000,7.8,136,Captain America: The Winter Soldierξ
165000000,6.4,93,Shrek Forever Afterξ
190000000,6.5,130,Tomorrowlandξ
165000000,7.9,102,Big Hero 6ξ
165000000,7.8,101,Wreck-It Ralphξ
165000000,6.6,100,The Polar Expressξ
165000000,5.5,120,Independence Day: Resurgenceξ
165000000,8.2,98,How to Train Your Dragonξ
200000000,6.4,109,Terminator 3: Rise of the Machinesξ
170000000,8.1,121,Guardians of the Galaxyξ
165000000,8.6,169,Interstellarξ
160000000,8.8,148,Inceptionξ
,8.2,120,Godzilla Resurgenceξ
180000000,7.9,182,The Hobbit: An Unexpected Journeyξ
38000000,6.7,106,The Fast and the Furiousξ
150000000,7.8,166,The Curious Case of Benjamin Buttonξ
160000000,7.8,132,X-Men: First Classξ
160000000,6.6,137,The Hunger Games: Mockingjay - Part 2ξ
150000000,6.1,109,The Sorcerer's Apprenticeξ
160000000,5.6,98,Poseidonξ
170000000,6.4,113,Alice Through the Looking Glassξ
160000000,6.1,93,Shrek the Thirdξ
160000000,7.3,123,Warcraftξ
155000000,6.6,126,Terminator Genisysξ
155000000,6.3,113,The Chronicles of Narnia: The Voyage of the Dawn Treaderξ
140000000,6.1,184,Pearl Harborξ
150000000,7.1,144,Transformersξ
155000000,5.5,206,Alexanderξ
150000000,7.5,138,Harry Potter and the Order of the Phoenixξ
150000000,7.6,157,Harry Potter and the Goblet of Fireξ
150000000,6.4,102,Hancockξ
150000000,7.2,104,I Am Legendξ
150000000,6.7,115,Charlie and the Chocolate Factoryξ
150000000,8,111,Ratatouilleξ
150000000,8.3,128,Batman Beginsξ
150000000,6.7,89,Madagascar: Escape 2 Africaξ
150000000,5.9,105,Night at the Museum: Battle of the Smithsonianξ
150000000,6.7,119,X-Men Origins: Wolverineξ
150000000,6.7,129,The Matrix Revolutionsξ
150000000,7.6,102,Frozenξ
150000000,7.2,138,The Matrix Reloadedξ
170000000,7.1,112,Thor: The Dark Worldξ
150000000,8.1,120,Mad Max: Fury Roadξ
150000000,6.7,146,Angels & Demonsξ
150000000,7,115,Thorξ
150000000,6.9,96,Boltξ
150000000,5.1,88,G-Forceξ
150000000,5.8,99,Wrath of the Titansξ
100000000,6.2,113,Dark Shadowsξ
150000000,7.4,131,Mission: Impossible - Rogue Nationξ
150000000,5.8,119,The Wolfmanξ
180000000,6.6,110,The Legend of Tarzanξ
150000000,6.2,91,Bee Movieξ
150000000,7.3,90,Kung Fu Panda 2ξ
150000000,4.2,103,The Last Airbenderξ
150000000,6.9,124,Mission: Impossible IIIξ
150000000,6.4,131,White House Downξ
150000000,5.4,88,Mars Needs Momsξ
149000000,6.7,85,Flushed Awayξ
150000000,5.8,111,Panξ
145000000,6.9,92,Mr. Peabody & Shermanξ
175000000,7.2,196,Troyξ
145000000,6.9,93,Madagascar 3: Europe's Most Wantedξ
142000000,6.1,133,Die Another Dayξ
144000000,5.5,116,Ghostbustersξ
140000000,6.6,153,Armageddonξ
140000000,6.1,88,Men in Black IIξ
150000000,6.3,115,Beowulfξ
145000000,7.2,95,Kung Fu Panda 3ξ
145000000,7.4,133,Mission: Impossible - Ghost Protocolξ
145000000,7.3,97,Rise of the Guardiansξ
100000000,6.1,90,Fun with Dick and Janeξ
140000000,7.7,154,The Last Samuraiξ
140000000,6.1,150,Exodus: Gods and Kingsξ
150000000,8,127,Star Trekξ
139000000,7.3,121,Spider-Manξ
145000000,7.9,102,How to Train Your Dragon 2ξ
140000000,5.5,126,Gods of Egyptξ
135000000,5,121,Stealthξ
130000000,7.7,215,Watchmenξ
140000000,6.6,127,Lethal Weapon 4ξ
137000000,5.7,138,Hulkξ
130000000,5.8,122,G.I. Joe: Retaliationξ
130000000,6,124,Saharaξ
137000000,6.4,106,Final Fantasy: The Spirits Withinξ
140000000,6.9,124,Captain America: The First Avengerξ
135000000,6.4,128,The World Is Not Enoughξ
150000000,7.4,138,Master and Commander: The Far Side of the Worldξ
120000000,5.5,115,The Twilight Saga: Breaking Dawn - Part 2ξ
135000000,5.9,100,Happy Feet 2ξ
150000000,6.8,135,The Incredible Hulkξ
1500000,7.5,60,Miami Viceξ            
140000000,6.8,117,The BFGξ
135000000,8.1,156,The Revenantξ
135000000,6.5,96,Turboξ
135000000,7.2,107,Rangoξ
132000000,6.7,92,Penguins of Madagascarξ
110000000,8.1,115,The Bourne Ultimatumξ
130000000,7.6,92,Kung Fu Pandaξ
130000000,7.4,117,Ant-Manξ
130000000,7.6,146,The Hunger Games: Catching Fireξ
120000000,5.5,115,The Twilight Saga: Breaking Dawn - Part 2ξ
135000000,6.7,94,Homeξ
132000000,6.5,116,War of the Worldsξ
130000000,6.6,147,Bad Boys IIξ
130000000,6.7,90,Puss in Bootsξ
110000000,6.4,101,Saltξ
125000000,5.8,138,Noahξ
135000000,7.4,107,The Adventures of Tintinξ
130000000,7.8,142,Harry Potter and the Prisoner of Azkabanξ
130000000,6.6,165,Australiaξ
130000000,4.9,100,After Earthξ
127500000,6.5,82,Dinosaurξ
,7.5,,Harry Potter and the Deathly Hallows: Part IIξ
127000000,6.2,98,Night at the Museum: Secret of the Tombξ
130000000,7.3,95,Megamindξ
125000000,7.5,159,Harry Potter and the Sorcerer's Stoneξ
130000000,5.6,96,R.I.P.D.ξ
,8.2,120,Godzilla Resurgenceξ
140000000,8.1,143,Pirates of the Caribbean: The Curse of the Black Pearlξ
,6.4,,Harry Potter and the Deathly Hallows: Part Iξ
125000000,6.7,123,The Hunger Games: Mockingjay - Part 1ξ
125000000,6.6,174,The Da Vinci Codeξ
103000000,6.4,101,Rio 2ξ
110000000,7.5,134,X-Men 2ξ
125000000,7.3,132,Fast Fiveξ
125000000,7.5,129,Sherlock Holmes: A Game of Shadowsξ
125000000,5.8,106,Clash of the Titansξ
65000000,7.5,113,Total Recallξ
85000000,6.6,102,The 13th Warriorξ
125000000,6.7,135,The Bourne Legacyξ
125000000,3.7,125,Batman & Robinξ
123000000,6,110,How the Grinch Stole Christmasξ
125000000,6.4,124,The Day After Tomorrowξ
125000000,6.1,123,Mission: Impossible IIξ
140000000,6.4,130,The Perfect Stormξ
130000000,5.6,92,Fantastic 4: Rise of the Silver Surferξ
120000000,8,127,Life of Piξ
110000000,5.2,123,Ghost Riderξ
120000000,7.1,123,Jason Bourneξ
120000000,4.8,107,Charlie's Angels: Full Throttleξ
130000000,7,124,Prometheusξ
120000000,5.4,77,Stuart Little 2ξ
115000000,6.6,109,Elysiumξ
105000000,6.7,134,The Chronicles of Riddickξ
100000000,6.2,117,RoboCopξ
120000000,6.1,135,Speed Racerξ
120000000,5.3,121,How Do You Knowξ
117000000,6.3,117,Knight and Dayξ
120000000,7,124,Oblivionξ
113000000,7.6,140,Star Wars: Episode III - Revenge of the Sithξ
115000000,6.7,142,Star Wars: Episode II - Attack of the Clonesξ
115000000,8.1,92,"Monsters, Inc.ξ"
120000000,6.7,138,The Wolverineξ
115000000,6.5,136,Star Wars: Episode I - The Phantom Menaceξ
135000000,7.3,98,The Croodsξ
78000000,5.1,116,Asterix at the Olympic Gamesξ
115000000,6,153,Windtalkersξ
115000000,6.1,120,The Huntsman: Winter's Warξ
125000000,5.9,101,Teenage Mutant Ninja Turtlesξ
100000000,7.8,91,Gravityξ
116000000,5.8,108,Dante's Peakξ
135000000,6.3,112,Teenage Mutant Ninja Turtles: Out of the Shadowsξ
120000000,4.3,100,Fantastic Fourξ
110000000,6.4,108,Night at the Museumξ
110000000,6.1,114,San Andreasξ
110000000,6.5,119,Tomorrow Never Diesξ
110000000,7.1,142,The Patriotξ
110000000,6.4,125,Ocean's Twelveξ
120000000,6.5,126,Mr. & Mrs. Smithξ
110000000,6.3,119,Insurgentξ
110000000,7.5,170,The Aviatorξ
112000000,4.9,85,Gulliver's Travelsξ
120000000,5.8,119,The Green Hornetξ
,7.6,60,The A-Teamξ            
110000000,6.2,102,300: Rise of an Empireξ
110000000,5.5,103,The Smurfsξ
110000000,5.4,76,Home on the Rangeξ
110000000,5.8,120,Allegiantξ
110000000,7.1,127,Real Steelξ
105000000,5.4,105,The Smurfs 2ξ
160000000,3.7,121,Speed 2: Cruise Controlξ
110000000,6.7,114,Ender's Gameξ
110000000,7.2,129,Live Free or Die Hardξ
93000000,8.8,171,The Lord of the Rings: The Fellowship of the Ringξ
110000000,5.8,120,Around the World in 80 Daysξ
107000000,6.8,165,Aliξ
109000000,3.8,82,The Cat in the Hatξ
120000000,7.1,115,"I, Robotξ"
130000000,7.2,194,Kingdom of Heavenξ
133000000,5.9,84,Stuart Littleξ
105000000,7.1,97,The Princess and the Frogξ
108000000,8.1,151,The Martianξ
,7.2,22,"10,000 B.C.ξ            "
126000000,6.9,136,The Islandξ
90000000,4.4,104,Town & Countryξ
90000000,6.5,127,Gone in Sixty Secondsξ
103000000,8.5,171,Gladiatorξ
102000000,7.7,145,Minority Reportξ
100000000,7.4,174,Harry Potter and the Chamber of Secretsξ
150000000,8,144,Casino Royaleξ
100000000,5.7,119,Planet of the Apesξ
102000000,8.5,153,Terminator 2: Judgment Dayξ
100000000,7,140,Public Enemiesξ
100000000,7.8,176,American Gangsterξ
115000000,7.2,141,True Liesξ
100000000,6.4,106,The Taking of Pelham 1 2 3ξ
100000000,5.5,98,Little Fockersξ
100000000,6.7,116,The Other Guysξ
100000000,6.1,115,Eraserξ
100000000,8.5,165,Django Unchainedξ
100000000,6.9,91,The Hunchback of Notre Dameξ
100000000,7.3,78,The Emperor's New Grooveξ
92000000,6.7,103,The Expendables 2ξ
100000000,6.9,131,National Treasureξ
100000000,5.1,104,Eragonξ
100000000,6.8,101,Where the Wild Things Areξ
150000000,5.8,111,Panξ
100000000,6.7,102,Epicξ
100000000,6,103,The Touristξ
83000000,5.7,121,End of Daysξ
100000000,8,143,Blood Diamondξ
100000000,8.2,240,The Wolf of Wall Streetξ
100000000,5.4,121,Batman Foreverξ
105000000,7.2,129,Starship Troopersξ
102000000,7.5,172,Cloud Atlasξ
80000000,7,101,Legend of the Guardians: The Owls of Ga'Hooleξ
100000000,3.3,87,Catwomanξ
100000000,6,101,Herculesξ
140000000,7.1,95,Treasure Planetξ
100000000,5.4,102,Land of the Lostξ
90000000,6.1,131,The Expendables 3ξ
105000000,5.3,114,Point Breakξ
84000000,2.2,94,Son of the Maskξ
100000000,7,122,In the Heart of the Seaξ
100000000,3.8,95,The Adventures of Pluto Nashξ
100000000,6.9,115,Green Zoneξ
99000000,7.2,88,The Peanuts Movieξ
10000000,7.3,110,The Spanish Prisonerξ
98000000,6.3,130,The Mummy Returnsξ
100000000,7.5,216,Gangs of New Yorkξ
94000000,7.6,146,The Flowers of Warξ
100000000,6.8,85,Surf's Upξ
90000000,5.2,93,The Stepford Wivesξ
92000000,7.7,152,Black Hawk Downξ
95000000,6.2,85,The Campaignξ
93000000,7.7,126,The Fifth Elementξ
100000000,4.3,146,Sex and the City 2ξ
95000000,6.9,89,The Road to El Doradoξ
95000000,6.6,88,Ice Age: Continental Driftξ
95000000,7,105,Cinderellaξ
65000000,6.7,135,The Lovely Bonesξ
94000000,8.2,100,Finding Nemoξ
94000000,8.9,192,The Lord of the Rings: The Return of the Kingξ
94000000,8.7,172,The Lord of the Rings: The Two Towersξ
95000000,5.5,102,Seventh Sonξ
115000000,5.7,100,Lara Croft: Tomb Raiderξ
100000000,6.3,119,Transcendenceξ
93000000,5.9,92,Jurassic Park IIIξ
93000000,7.6,105,Rise of the Planet of the Apesξ
90000000,6.6,107,The Spiderwick Chroniclesξ
92000000,5.3,101,A Good Day to Die Hardξ
107000000,6,137,The Alamoξ
92000000,8,115,The Incrediblesξ
98000000,5.6,124,Cutthroat Islandξ
95000000,5.9,118,Percy Jackson & the Olympians: The Lightning Thiefξ
90000000,7.3,98,Men in Blackξ
90000000,7.9,82,Toy Story 2ξ
100000000,6.8,98,Unstoppableξ
90000000,6.6,90,Rush Hour 2ξ
100000000,6.6,130,What Lies Beneathξ
100000000,7,90,Cloudy with a Chance of Meatballsξ
90000000,7,94,Ice Age: Dawn of the Dinosaursξ
90000000,7.3,114,The Secret Life of Walter Mittyξ
92000000,5.5,94,Charlie's Angelsξ
90000000,8.5,151,The Departedξ
90000000,7.5,88,Mulanξ
92000000,7,121,Tropic Thunderξ
90000000,7.8,158,The Girl with the Dragon Tattooξ
90000000,7.6,128,Die Hard with a Vengeanceξ
90000000,7.6,128,Sherlock Holmesξ
,6.1,141,Ben-Hurξ
120000000,6.8,95,Atlantis: The Lost Empireξ
90000000,5,92,Alvin and the Chipmunks: The Road Chipξ
75000000,7.1,121,Valkyrieξ
90000000,5.5,113,You Don't Mess with the Zohanξ
88000000,5.6,106,Pixelsξ
100000000,7.1,146,A.I. Artificial Intelligenceξ
90000000,4.9,88,The Haunted Mansionξ
90000000,7.4,150,Contactξ
95000000,5.7,119,Hollow Manξ
80000000,6.4,128,The Interpreterξ
90000000,5.9,106,Percy Jackson: Sea of Monstersξ
95000000,5.5,117,Lara Croft Tomb Raider: The Cradle of Lifeξ
90000000,6.9,129,Now You See Me 2ξ
68000000,6.2,116,The Saintξ
92000000,7,114,Spy Gameξ
90000000,5.6,114,Mission to Marsξ
90000000,7,96,Rioξ
100000000,6.8,132,Bicentennial Manξ
90000000,5.4,104,Volcanoξ
86000000,6.1,111,The Devil's Ownξ
100000000,6.7,138,K-19: The Widowmakerξ
120000000,4.3,100,Fantastic Fourξ
20000000,6.9,129,Conan the Barbarianξ
88000000,8,144,Cinderella Manξ
90000000,4.4,110,The Nutcracker in 3Dξ
87000000,7.3,140,Seabiscuitξ
92000000,6.3,113,Twisterξ
38000000,6.7,106,The Fast and the Furiousξ
90000000,7.7,143,Cast Awayξ
100000000,6.5,108,Happy Feetξ
75000000,7.8,108,The Bourne Supremacyξ
85000000,6.4,124,Air Force Oneξ
85000000,7.8,116,Ocean's Elevenξ
75000000,5.8,110,The Three Musketeersξ
85000000,7.1,91,Hotel Transylvaniaξ
85000000,7.1,107,Enchantedξ
,8.6,44,Hannibalξ            
85000000,6.8,115,Safe Houseξ
85000000,4.8,100,102 Dalmatiansξ
75000000,6.2,104,Tower Heistξ
85000000,6.9,138,The Holidayξ
90000000,7.3,140,Enemy of the Stateξ
85000000,6.6,120,It's Complicatedξ
85000000,6.9,122,Ocean's Thirteenξ
85000000,6.2,83,Open Seasonξ
85000000,6.7,139,Divergentξ
68000000,7.6,131,Enemy at the Gatesξ
85000000,6.7,104,The Rundownξ
70000000,6.2,130,Last Action Heroξ
85000000,7.3,145,Memoirs of a Geishaξ
85000000,6,104,The Fast and the Furious: Tokyo Driftξ
100000000,7.1,97,Arthur Christmasξ
90000000,7.1,178,Meet Joe Blackξ
85000000,5.5,108,Collateral Damageξ
,7.8,123,All That Jazzξ
85000000,5.6,106,Mirror Mirrorξ
60000000,7.5,112,Scott Pilgrim vs. the Worldξ
60000000,5.4,135,The Coreξ
65000000,4.3,109,Nutty Professor II: The Klumpsξ
84000000,4.9,86,Scooby-Dooξ
35000000,7.1,95,Dreddξ
70000000,6.4,107,Clickξ
8000000,6.9,130,Creepshowξ
85000000,4.3,82,Cats & Dogs: The Revenge of Kitty Galoreξ
85000000,6.1,88,Jumperξ
85000000,7,120,Hellboy II: The Golden Armyξ
65000000,7.7,162,Zodiacξ
82000000,5.9,123,The 6th Dayξ
81000000,6.7,101,Bruce Almightyξ
80000000,6.5,113,The Expendablesξ
80000000,7.1,110,Mission: Impossibleξ
78000000,7.3,142,The Hunger Gamesξ
80000000,6.5,102,The Hangover Part IIξ
80000000,7,126,Batman Returnsξ
80000000,6.8,83,Over the Hedgeξ
80000000,7.2,85,Lilo & Stitchξ
,6.4,97,Charlotte's Webξ
75000000,6.1,120,Deep Impactξ
84000000,6.7,116,RED 2ξ
82000000,6.4,113,The Longest Yardξ
75000000,4.4,87,Alvin and the Chipmunks: Chipwreckedξ
80000000,5.4,101,Grown Ups 2ξ
80000000,6.5,110,Get Smartξ
80000000,6.7,128,Something's Gotta Giveξ
80000000,8.1,138,Shutter Islandξ
80000000,5.6,88,Four Christmasesξ
75000000,6.3,91,Robotsξ
80000000,7.3,138,Face/Offξ
80000000,6.1,99,Bedtime Storiesξ
80000000,7.7,117,Road to Perditionξ
80000000,6.4,117,Just Go with Itξ
,8.8,54,Daredevilξ            
75000000,6.8,123,Con Airξ
80000000,6.6,118,Eagle Eyeξ
79000000,7.2,154,Cold Mountainξ
80000000,6.9,118,The Book of Eliξ
80000000,5.2,90,Flubberξ
80000000,4.9,113,The Hauntingξ
80000000,6.3,88,Space Jamξ
65000000,5.6,93,The Pink Pantherξ
80000000,5.5,104,The Day the Earth Stood Stillξ
75000000,6.7,135,Conspiracy Theoryξ
68000000,7.6,134,Furyξ
70000000,5.7,98,Six Days Seven Nightsξ
80000000,4.6,80,Yogi Bearξ
80000000,7,83,Spirit: Stallion of the Cimarronξ
80000000,5.2,102,Zookeeperξ
80000000,5.1,130,Lost in Spaceξ
80000000,6.6,129,The Manchurian Candidateξ
,7,117,D��j�� Vuξ
80000000,6.7,89,Hotel Transylvania 2ξ
,7.6,25,Bewitchedξ            
80000000,7.3,74,Fantasia 2000ξ
80000000,5.9,96,The Time Machineξ
90000000,5.6,114,Mighty Joe Youngξ
80000000,6.5,99,Swordfishξ
75000000,5.9,129,The Legend of Zorroξ
85000000,7,113,What Dreams May Comeξ
80000000,5.3,90,Little Nickyξ
88000000,5.9,118,The Brothers Grimmξ
70000000,6.3,106,Mars Attacks!ξ
,6.4,81,Evolutionξ
,6.9,117,The Edgeξ
80000000,6.3,89,Surrogatesξ
80000000,7.3,145,Thirteen Daysξ
80000000,5.8,114,Daylightξ
80000000,5.2,87,Walking with Dinosaurs 3Dξ
44000000,2.4,119,Battlefield Earthξ
80000000,5.7,91,Looney Tunes: Back in Actionξ
80000000,5.8,118,Nineξ
80000000,5.6,116,Timelineξ
80000000,6,177,The Postmanξ
80000000,5.8,97,Babe: Pig in the Cityξ
90000000,6,106,The Last Witch Hunterξ
70000000,5.7,106,Red Planetξ
86000000,6,94,Arthur and the Invisiblesξ
40000000,7.8,104,Oceansξ
52000000,4.2,102,A Sound of Thunderξ
80000000,5.6,105,Pompeiiξ
8000000,4.4,89,Top Cat Beginsξ
58000000,8.2,135,A Beautiful Mindξ
45000000,8.5,73,The Lion Kingξ
79000000,5.8,94,Journey 2: The Mysterious Islandξ
78000000,6.5,95,Cloudy with a Chance of Meatballs 2ξ
78000000,7.2,124,Red Dragonξ
100000000,6.7,136,Hidalgoξ
79000000,3.4,91,Jack and Jillξ
76000000,5.9,107,2 Fast 2 Furiousξ
81200000,7.8,108,The Little Princeξ
80000000,5.9,99,The Invasionξ
76000000,4.1,92,The Adventures of Rocky & Bullwinkleξ
75000000,6.8,87,The Secret Life of Petsξ
78000000,5.8,110,The League of Extraordinary Gentlemenξ
76000000,7.5,98,Despicable Me 2ξ
75000000,6.9,154,Independence Dayξ
73000000,6.5,129,The Lost World: Jurassic Parkξ
75000000,6.9,86,Madagascarξ
76000000,7.9,109,Children of Menξ
75000000,7.4,104,X-Menξ
75000000,6.7,110,Wantedξ
75000000,7.4,136,The Rockξ
80000000,6.9,115,Ice Age: The Meltdownξ
75000000,6.8,99,50 First Datesξ
75000000,6.7,117,Hairsprayξ
50000000,5.1,125,Exorcist: The Beginningξ
75000000,4.1,110,Inspector Gadgetξ
75000000,7.3,125,Now You See Meξ
80000000,6,102,Grown Upsξ
60000000,7.3,128,The Terminalξ
,7.5,43,Constantineξ            
35000000,5.4,100,Hotel for Dogsξ
75000000,5.9,124,Vertical Limitξ
75000000,7.1,102,Charlie Wilson's Warξ
75000000,6,90,Shark Taleξ
70000000,6.5,130,Dreamgirlsξ
,8.3,45,Lifeξ            
53000000,5.7,118,Be Coolξ
70000000,7.6,163,Munichξ
70000000,6.6,142,Tears of the Sunξ
75000000,5.4,100,Killersξ
75000000,7.3,116,The Man from U.N.C.L.E.ξ
80000000,6.5,131,Spanglishξ
75000000,6.6,91,Monster Houseξ
80000000,6.6,123,Banditsξ
55000000,5.9,134,First Knightξ
75000000,6.7,148,Anna and the Kingξ
75000000,6.1,110,Immortalsξ
52000000,6.6,113,Hostageξ
75000000,6.6,94,Titan A.E.ξ
75000000,5.3,116,Hollywood Homicideξ
75000000,6,99,Soldierξ
,6,84,Carriersξ
75000000,4.7,93,Monkeyboneξ
45000000,6.1,113,Flight of the Phoenixξ
75000000,7.2,106,Unbreakableξ
74000000,6.4,91,Minionsξ
82000000,6.1,128,Sucker Punchξ
69000000,5.9,98,Snake Eyesξ
75000000,6,134,Sphereξ
73000000,6.3,97,The Angry Birds Movieξ
70000000,5.6,112,Fool's Goldξ
75000000,6.4,153,Funny Peopleξ
70000000,7.1,110,The Kingdomξ
73000000,6.6,122,Talladega Nights: The Ballad of Ricky Bobbyξ
72000000,4.6,87,Dr. Dolittle 2ξ
72000000,8.4,178,Braveheartξ
70000000,7.1,125,Jarheadξ
75000000,7.4,87,The Simpsons Movieξ
72000000,6.9,152,The Majesticξ
72000000,4.5,116,Drivenξ
59660000,7.1,109,Two Brothersξ
60000000,6.5,108,The Villageξ
71500000,5.3,85,Doctor Dolittleξ
72000000,6.7,106,Signsξ
150000000,7.2,93,Shrek 2ξ
120000000,7.2,117,Carsξ
70000000,5.5,116,Runaway Brideξ
70000000,5.8,132,xXxξ
74000000,6,92,The SpongeBob Movie: Sponge Out of Waterξ
80000000,6.6,139,Ransomξ
75000000,8.3,153,Inglourious Basterdsξ
70000000,6.7,142,Hookξ
100000000,6,101,Herculesξ
70000000,7.1,124,Die Hard 2ξ
80000000,6,117,S.W.A.T.ξ
,7.5,45,Sleepy Hollowξ            
68000000,6.9,141,Vanilla Skyξ
70000000,5.6,110,Lady in the Waterξ
60000000,5.6,109,AVP: Alien vs. Predatorξ
75000000,4.5,88,Alvin and the Chipmunks: The Squeakquelξ
75000000,7.1,124,We Were Soldiersξ
70000000,6.5,119,Olympus Has Fallenξ
58000000,6.4,103,Star Trek: Insurrectionξ
70000000,5.8,116,Battle Los Angelesξ
70000000,8,125,Big Fishξ
70000000,6.2,125,Wolfξ
66000000,7.2,146,War Horseξ
70000000,6.1,118,The Monuments Menξ
69500000,7.6,171,The Abyssξ
70000000,6.3,136,Wall Street: Money Never Sleepsξ
70000000,6.3,92,Dracula Untoldξ
70000000,6.3,116,The Siegeξ
70000000,7.7,127,Stardustξ
70000000,7,136,Seven Years in Tibetξ
70000000,5.3,111,The Dilemmaξ
70000000,5.6,116,Bad Companyξ
60000000,5.2,113,Doomξ
70000000,5.4,97,I Spyξ
70000000,6.4,88,Underworld: Awakeningξ
75000000,5.9,136,Rock of Agesξ
60000000,6.3,125,Hart's Warξ
35000000,6.5,116,Killer Eliteξ
70000000,3,98,Rollerballξ
70000000,3.6,91,Ballistic: Ecks vs. Severξ
70000000,5.8,97,Hard Rainξ
70000000,6.2,95,Osmosis Jonesξ
70000000,5.6,88,Legends of Oz: Dorothy's Returnξ
70000000,5.4,133,Blackhatξ
70000000,6.1,106,Sky Captain and the World of Tomorrowξ
70000000,4.2,116,Basic Instinct 2ξ
50000000,6.7,115,Escape Planξ
70000000,4.2,99,The Legend of Herculesξ
68000000,6.4,124,The Sum of All Fearsξ
68000000,4.9,124,The Twilight Saga: Eclipseξ
68000000,6.8,124,The Scoreξ
69000000,7.7,87,Despicable Meξ
68000000,5.6,105,Money Trainξ
68000000,6.4,125,Ted 2ξ
70000000,7.2,141,Agoraξ
65000000,6,121,Mystery Menξ
36000000,5.9,111,Hall Passξ
68000000,7.9,157,The Insiderξ
,6.8,117,The Finest Hoursξ
70000000,7.1,128,Body of Liesξ
,5.9,114,Dinner for Schmucksξ
69000000,5.9,105,Abraham Lincoln: Vampire Hunterξ
66000000,6.2,113,Entrapmentξ
,7.4,30,Last Man Standingξ            
66000000,7,121,The X Filesξ
35000000,5.4,102,The Last Legionξ
