director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_title
Rob Marshall,252,Johnny Depp,40000,Sam Claflin,11000,Stephen Graham,1000,Pirates of the Caribbean: On Stranger TidesåÊ
Barry Sonnenfeld,188,Will Smith,10000,Michael Stuhlbarg,816,Nicole Scherzinger,718,Men in Black 3åÊ
Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,The Hobbit: The Battle of the Five ArmiesåÊ
Marc Webb,464,Emma Stone,15000,Andrew Garfield,10000,Chris Zylka,963,The Amazing Spider-ManåÊ
Ridley Scott,0,Mark Addy,891,William Hurt,882,Scott Grimes,738,Robin HoodåÊ
Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,The Hobbit: The Desolation of SmaugåÊ
Chris Weitz,129,Christopher Lee,16000,Eva Green,6000,Kristin Scott Thomas,1000,The Golden CompassåÊ
Peter Jackson,0,Naomi Watts,6000,Thomas Kretschmann,919,Evan Parke,84,King KongåÊ
James Cameron,0,Leonardo DiCaprio,29000,Kate Winslet,14000,Gloria Stuart,794,TitanicåÊ
Anthony Russo,94,Robert Downey Jr.,21000,Scarlett Johansson,19000,Chris Evans,11000,Captain America: Civil WaråÊ
Peter Berg,532,Liam Neeson,14000,Alexander SkarsgÌ´rd,10000,Tadanobu Asano,627,BattleshipåÊ
Colin Trevorrow,365,Bryce Dallas Howard,3000,Judy Greer,2000,Omar Sy,1000,Jurassic WorldåÊ
Sam Mendes,0,Albert Finney,883,Helen McCrory,563,Rory Kinnear,393,SkyfallåÊ
Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,Spider-Man 2åÊ
Shane Black,1000,Robert Downey Jr.,21000,Jon Favreau,4000,Don Cheadle,3000,Iron Man 3åÊ
Tim Burton,13000,Johnny Depp,40000,Alan Rickman,25000,Anne Hathaway,11000,Alice in WonderlandåÊ
Brett Ratner,420,Hugh Jackman,20000,Kelsey Grammer,808,Daniel Cudmore,560,X-Men: The Last StandåÊ
Dan Scanlon,37,Steve Buscemi,12000,Tyler Labine,779,Sean Hayes,760,Monsters UniversityåÊ
Michael Bay,0,Glenn Morshower,894,Kevin Dunn,581,Ramon Rodriguez,464,Transformers: Revenge of the FallenåÊ
Michael Bay,0,Bingbing Li,974,Sophia Myles,956,Kelsey Grammer,808,Transformers: Age of ExtinctionåÊ
Sam Raimi,0,Tim Holmes,44000,Mila Kunis,15000,James Franco,11000,Oz the Great and PowerfulåÊ
Marc Webb,464,Emma Stone,15000,Andrew Garfield,10000,B.J. Novak,825,The Amazing Spider-Man 2åÊ
Joseph Kosinski,364,Jeff Bridges,12000,Olivia Wilde,10000,James Frain,1000,TRON: LegacyåÊ
John Lasseter,487,Joe Mantegna,1000,Thomas Kretschmann,919,Eddie Izzard,776,Cars 2åÊ
Martin Campbell,258,Ryan Reynolds,16000,Temuera Morrison,368,Taika Waititi,326,Green LanternåÊ
Lee Unkrich,125,Tom Hanks,15000,John Ratzenberger,1000,Don Rickles,721,Toy Story 3åÊ
McG,368,Christian Bale,23000,Bryce Dallas Howard,3000,Common,988,Terminator SalvationåÊ
James Wan,0,Jason Statham,26000,Paul Walker,23000,Vin Diesel,14000,Furious 7åÊ
Marc Forster,395,Peter Capaldi,17000,Brad Pitt,11000,Mireille Enos,1000,World War ZåÊ
Bryan Singer,0,Jennifer Lawrence,34000,Peter Dinklage,22000,Hugh Jackman,20000,X-Men: Days of Future PaståÊ
J.J. Abrams,14000,Benedict Cumberbatch,19000,Bruce Greenwood,981,Noel Clarke,928,Star Trek Into DarknessåÊ
Bryan Singer,0,Eddie Marsan,979,Ewen Bremner,557,Ralph Brown,140,Jack the Giant SlayeråÊ
Baz Luhrmann,1000,Leonardo DiCaprio,29000,Elizabeth Debicki,509,Steve Bisley,77,The Great GatsbyåÊ
Mike Newell,179,Jake Gyllenhaal,15000,Richard Coyle,567,Reece Ritchie,236,Prince of Persia: The Sands of TimeåÊ
Guillermo del Toro,0,Charlie Hunnam,16000,Clifton Collins Jr.,968,Larry Joe Campbell,919,Pacific RimåÊ
Michael Bay,0,Glenn Morshower,894,Lester Speight,829,Kevin Dunn,581,Transformers: Dark of the MoonåÊ
Steven Spielberg,14000,Harrison Ford,11000,Ray Winstone,1000,Jim Broadbent,1000,Indiana Jones and the Kingdom of the Crystal SkullåÊ
Peter Sohn,113,A.J. Buckley,275,Jack McGraw,150,Peter Sohn,113,The Good DinosauråÊ
Mark Andrews,56,Kelly Macdonald,2000,John Ratzenberger,1000,Julie Walters,838,BraveåÊ
Justin Lin,681,Sofia Boutella,998,Melissa Roxburgh,119,Lydia Wilson,105,Star Trek BeyondåÊ
Andrew Stanton,475,John Ratzenberger,1000,Fred Willard,729,Jeff Garlin,522,WALLåáEåÊ
Brett Ratner,420,Tzi Ma,268,Dana Ivey,268,NoÌ©mie Lenoir,173,Rush Hour 3åÊ
Roland Emmerich,776,Oliver Platt,1000,Liam James,468,Tom McCarthy,310,2012åÊ
Robert Zemeckis,0,Robin Wright,18000,Colin Firth,14000,Gary Oldman,10000,A Christmas CarolåÊ
Lana Wachowski,0,Channing Tatum,17000,Mila Kunis,15000,Eddie Redmayne,13000,Jupiter AscendingåÊ
David Yates,282,Christoph Waltz,11000,Alexander SkarsgÌ´rd,10000,Casper Crump,103,The Legend of TarzanåÊ
Andrew Adamson,80,Jim Broadbent,1000,Kiran Shah,190,Shane Rangi,82,"The Chronicles of Narnia: The Lion, the Witch and the WardrobeåÊ"
Bryan Singer,0,Jennifer Lawrence,34000,Michael Fassbender,13000,Tye Sheridan,1000,X-Men: ApocalypseåÊ
Christopher Nolan,22000,Christian Bale,23000,Heath Ledger,13000,Morgan Freeman,11000,The Dark KnightåÊ
Pete Docter,0,John Ratzenberger,1000,Delroy Lindo,848,Jess Harnell,262,UpåÊ
Rob Letterman,11,Amy Poehler,1000,Rainn Wilson,973,Stephen Colbert,459,Monsters vs. AliensåÊ
Jon Favreau,4000,Robert Downey Jr.,21000,Jeff Bridges,12000,Jon Favreau,4000,Iron ManåÊ
Martin Scorsese,17000,ChloÌÇ Grace Moretz,17000,Christopher Lee,16000,Ray Winstone,1000,HugoåÊ
Barry Sonnenfeld,188,Will Smith,10000,Salma Hayek,4000,Bai Ling,582,Wild Wild WeståÊ
Rob Cohen,357,Jet Li,5000,Brendan Fraser,3000,Russell Wong,595,The Mummy: Tomb of the Dragon EmperoråÊ
David Ayer,452,Will Smith,10000,Robin Atkin Downes,336,Ike Barinholtz,329,Suicide SquadåÊ
Tom Shadyac,293,Jimmy Bennett,87000,Morgan Freeman,11000,Steve Carell,7000,Evan AlmightyåÊ
Doug Liman,218,Tom Cruise,10000,Lara Pulver,854,Noah Taylor,509,Edge of TomorrowåÊ
Kevin Reynolds,58,Jeanne Tripplehorn,711,Rick Aviles,60,Zakes Mokae,60,WaterworldåÊ
Stephen Sommers,208,Joseph Gordon-Levitt,23000,Dennis Quaid,2000,Leo Howard,570,G.I. Joe: The Rise of CobraåÊ
Pete Docter,0,Amy Poehler,1000,Mindy Kaling,767,Phyllis Smith,384,Inside OutåÊ
Jon Favreau,4000,Scarlett Johansson,19000,Bill Murray,13000,Garry Shandling,591,The Jungle BookåÊ
Jon Favreau,4000,Robert Downey Jr.,21000,Scarlett Johansson,19000,Jon Favreau,4000,Iron Man 2åÊ
Rupert Sanders,274,Chris Hemsworth,26000,Kristen Stewart,17000,Sam Claflin,11000,Snow White and the HuntsmanåÊ
Robert Stromberg,171,Angelina Jolie Pitt,11000,Sharlto Copley,2000,Sam Riley,846,MaleficentåÊ
Matt Reeves,198,Gary Oldman,10000,Judy Greer,2000,Kodi Smit-McPhee,884,Dawn of the Planet of the ApesåÊ
Roland JoffÌ©,596,Tamsin Egerton,622,Alice Englert,525,Bipasha Basu,283,The LoversåÊ
Carl Rinsch,47,Keanu Reeves,18000,Cary-Hiroyuki Tagawa,1000,Jin Akanishi,982,47 RoninåÊ
Anthony Russo,94,Scarlett Johansson,19000,Chris Evans,11000,Hayley Atwell,2000,Captain America: The Winter SoldieråÊ
Mike Mitchell,31,Jon Hamm,4000,Kathy Griffin,225,Mary Kay Place,213,Shrek Forever AfteråÊ
Brad Bird,663,Judy Greer,2000,Chris Bauer,638,Thomas Robinson,604,TomorrowlandåÊ
Don Hall,38,Damon Wayans Jr.,756,Daniel Henney,719,Abraham Benrubi,562,Big Hero 6åÊ
Rich Moore,66,Jack McBrayer,975,Sarah Silverman,931,Joe Lo Truglio,833,Wreck-It RalphåÊ
Robert Zemeckis,0,Tom Hanks,15000,Eddie Deezen,726,Peter Scolari,267,The Polar ExpressåÊ
Roland Emmerich,776,Vivica A. Fox,890,Sela Ward,812,Judd Hirsch,535,Independence Day: ResurgenceåÊ
Dean DeBlois,255,Gerard Butler,18000,America Ferrera,953,Craig Ferguson,759,How to Train Your DragonåÊ
Jonathan Mostow,84,Nick Stahl,648,M.C. Gainey,284,Carolyn Hennesy,191,Terminator 3: Rise of the MachinesåÊ
James Gunn,571,Bradley Cooper,14000,Vin Diesel,14000,Djimon Hounsou,3000,Guardians of the GalaxyåÊ
Christopher Nolan,22000,Matthew McConaughey,11000,Anne Hathaway,11000,Mackenzie Foy,6000,InterstellaråÊ
Christopher Nolan,22000,Leonardo DiCaprio,29000,Tom Hardy,27000,Joseph Gordon-Levitt,23000,InceptionåÊ
Hideaki Anno,28,Mark Chinnery,544,Shin'ya Tsukamoto,106,Atsuko Maeda,12,Godzilla ResurgenceåÊ
Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,The Hobbit: An Unexpected JourneyåÊ
Rob Cohen,357,Paul Walker,23000,Vin Diesel,14000,Jordana Brewster,4000,The Fast and the FuriousåÊ
David Fincher,21000,Brad Pitt,11000,Jason Flemyng,1000,Julia Ormond,919,The Curious Case of Benjamin ButtonåÊ
Matthew Vaughn,905,Jennifer Lawrence,34000,Michael Fassbender,13000,Oliver Platt,1000,X-Men: First ClassåÊ
Francis Lawrence,508,Jennifer Lawrence,34000,Philip Seymour Hoffman,22000,Josh Hutcherson,14000,The Hunger Games: Mockingjay - Part 2åÊ
Jon Turteltaub,226,Nicolas Cage,12000,Omar Benson Miller,418,Robert Capron,370,The Sorcerer's ApprenticeåÊ
Wolfgang Petersen,249,Jimmy Bennett,87000,Mike Vogel,2000,Andre Braugher,702,PoseidonåÊ
James Bobin,33,Johnny Depp,40000,Alan Rickman,25000,Anne Hathaway,11000,Alice Through the Looking GlassåÊ
Chris Miller,50,Justin Timberlake,3000,Eric Idle,795,Rupert Everett,692,Shrek the ThirdåÊ
Duncan Jones,0,Dominic Cooper,3000,Callum Rennie,716,Ruth Negga,648,WarcraftåÊ
Alan Taylor,230,J.K. Simmons,24000,Emilia Clarke,10000,Matt Smith,2000,Terminator GenisysåÊ
Michael Apted,150,Bruce Spence,531,Shane Rangi,82,Laura Brent,59,The Chronicles of Narnia: The Voyage of the Dawn TreaderåÊ
Michael Bay,0,Jennifer Garner,3000,Jaime King,961,Mako,691,Pearl HarboråÊ
Michael Bay,0,Zack Ward,662,Michael O'Neill,599,Kevin Dunn,581,TransformersåÊ
Oliver Stone,0,Anthony Hopkins,12000,Angelina Jolie Pitt,11000,Brian Blessed,591,AlexanderåÊ
David Yates,282,Robert Pattinson,21000,Daniel Radcliffe,11000,Fiona Shaw,687,Harry Potter and the Order of the PhoenixåÊ
Mike Newell,179,Robert Pattinson,21000,Daniel Radcliffe,11000,Rupert Grint,10000,Harry Potter and the Goblet of FireåÊ
Peter Berg,532,Will Smith,10000,Charlize Theron,9000,Eddie Marsan,979,HancockåÊ
Francis Lawrence,508,Will Smith,10000,Alice Braga,1000,Willow Smith,558,I Am LegendåÊ
Tim Burton,13000,Johnny Depp,40000,Christopher Lee,16000,David Kelly,588,Charlie and the Chocolate FactoryåÊ
Brad Bird,663,Janeane Garofalo,1000,John Ratzenberger,1000,Brian Dennehy,954,RatatouilleåÊ
Christopher Nolan,22000,Christian Bale,23000,Liam Neeson,14000,Morgan Freeman,11000,Batman BeginsåÊ
Eric Darnell,35,Bernie Mac,1000,Jada Pinkett Smith,851,Cedric the Entertainer,436,Madagascar: Escape 2 AfricaåÊ
Shawn Levy,189,Robin Williams,49000,Rami Malek,3000,Steve Coogan,1000,Night at the Museum: Battle of the SmithsonianåÊ
Gavin Hood,151,Hugh Jackman,20000,Ryan Reynolds,16000,Dominic Monaghan,2000,X-Men Origins: WolverineåÊ
Lana Wachowski,0,Essie Davis,309,Collin Chou,269,Nona Gaye,233,The Matrix RevolutionsåÊ
Chris Buck,69,Josh Gad,1000,Maurice LaMarche,523,Livvy Stubenrauch,490,FrozenåÊ
Lana Wachowski,0,Steve Bastoni,234,Daniel Bernhardt,198,Helmut Bakaitis,30,The Matrix ReloadedåÊ
Alan Taylor,230,Chris Hemsworth,26000,Natalie Portman,20000,Anthony Hopkins,12000,Thor: The Dark WorldåÊ
George Miller,750,Tom Hardy,27000,Charlize Theron,9000,ZoÌÇ Kravitz,943,Mad Max: Fury RoadåÊ
Ron Howard,2000,Tom Hanks,15000,Ayelet Zurer,745,Armin Mueller-Stahl,294,Angels & DemonsåÊ
Kenneth Branagh,0,Chris Hemsworth,26000,Natalie Portman,20000,Anthony Hopkins,12000,ThoråÊ
Byron Howard,59,ChloÌÇ Grace Moretz,17000,Diedrich Bader,759,James Lipton,699,BoltåÊ
Hoyt Yeatman,12,Kelli Garner,730,Piper Mackenzie Harris,607,Niecy Nash,182,G-ForceåÊ
Jonathan Liebesman,473,Liam Neeson,14000,Edgar RamÌ_rez,897,Lily James,502,Wrath of the TitansåÊ
Tim Burton,13000,Johnny Depp,40000,ChloÌÇ Grace Moretz,17000,Christopher Lee,16000,Dark ShadowsåÊ
Christopher McQuarrie,188,Tom Cruise,10000,Jeremy Renner,10000,Sean Harris,641,Mission: Impossible - Rogue NationåÊ
Joe Johnston,394,Anthony Hopkins,12000,Simon Merrells,490,Art Malik,162,The WolfmanåÊ
David Yates,282,Christoph Waltz,11000,Alexander SkarsgÌ´rd,10000,Casper Crump,103,The Legend of TarzanåÊ
Steve Hickner,58,Matthew Broderick,2000,Oprah Winfrey,852,Rip Torn,826,Bee MovieåÊ
Jennifer Yuh Nelson,90,Angelina Jolie Pitt,11000,Gary Oldman,10000,Mike Bell,15,Kung Fu Panda 2åÊ
M. Night Shyamalan,0,Seychelle Gabriel,1000,Noah Ringer,756,Aasif Mandvi,346,The Last AirbenderåÊ
J.J. Abrams,14000,Philip Seymour Hoffman,22000,Tom Cruise,10000,Eddie Marsan,979,Mission: Impossible IIIåÊ
Roland Emmerich,776,Channing Tatum,17000,Jake Weber,551,Matt Craven,256,White House DownåÊ
Simon Wells,25,Elisabeth Harnois,921,Dan Fogler,562,Tom Everett Scott,433,Mars Needs MomsåÊ
David Bowers,42,Hugh Jackman,20000,Kate Winslet,14000,David Suchet,586,Flushed AwayåÊ
Joe Wright,456,Hugh Jackman,20000,Cara Delevingne,548,Nonso Anozie,394,PanåÊ
Rob Minkoff,50,Ty Burrell,3000,Zach Callison,1000,Karan Brar,517,Mr. Peabody & ShermanåÊ
Wolfgang Petersen,249,Brad Pitt,11000,Orlando Bloom,5000,Julian Glover,844,TroyåÊ
Eric Darnell,35,Jada Pinkett Smith,851,Martin Short,770,Cedric the Entertainer,436,Madagascar 3: Europe's Most WantedåÊ
Lee Tamahori,93,Toby Stephens,769,Colin Salmon,766,Rick Yune,746,Die Another DayåÊ
Paul Feig,176,Ed Begley Jr.,783,Kate McKinnon,370,Zach Woods,322,GhostbustersåÊ
Michael Bay,0,Bruce Willis,13000,Steve Buscemi,12000,Will Patton,537,ArmageddonåÊ
Barry Sonnenfeld,188,Will Smith,10000,Rosario Dawson,3000,Rip Torn,826,Men in Black IIåÊ
Robert Zemeckis,0,Robin Wright,18000,Anthony Hopkins,12000,Sebastian RochÌ©,964,BeowulfåÊ
Alessandro Carloni,5,J.K. Simmons,24000,Angelina Jolie Pitt,11000,Wayne Knight,967,Kung Fu Panda 3åÊ
Brad Bird,663,Tom Cruise,10000,Jeremy Renner,10000,Michael Nyqvist,690,Mission: Impossible - Ghost ProtocolåÊ
Peter Ramsey,52,Hugh Jackman,20000,Kamil McFadden,315,Khamani Griffin,161,Rise of the GuardiansåÊ
Dean Parisot,23,John Michael Higgins,957,Richard Burgi,550,David Herman,233,Fun with Dick and JaneåÊ
Edward Zwick,380,Tom Cruise,10000,Tony Goldwyn,956,Chad Lindberg,445,The Last SamuraiåÊ
Ridley Scott,0,Christian Bale,23000,MarÌ_a Valverde,893,Ben Mendelsohn,748,Exodus: Gods and KingsåÊ
J.J. Abrams,14000,Chris Hemsworth,26000,Leonard Nimoy,12000,Bruce Greenwood,981,Star TrekåÊ
Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,Spider-ManåÊ
Dean DeBlois,255,Gerard Butler,18000,Djimon Hounsou,3000,America Ferrera,953,How to Train Your Dragon 2åÊ
Alex Proyas,295,Gerard Butler,18000,Elodie Yung,934,Bryan Brown,284,Gods of EgyptåÊ
Rob Cohen,357,Sam Shepard,820,Joe Morton,780,Richard Roxburgh,653,StealthåÊ
Zack Snyder,0,Matt Frewer,986,Billy Crudup,745,Stephen McHattie,413,WatchmenåÊ
Richard Donner,503,Jet Li,5000,Rene Russo,808,Darlene Love,91,Lethal Weapon 4åÊ
Ang Lee,0,Kevin Rankin,820,Regi Davis,300,Celia Weston,258,HulkåÊ
Jon M. Chu,209,Channing Tatum,17000,Dwayne Johnson,12000,Elodie Yung,934,G.I. Joe: RetaliationåÊ
Breck Eisner,42,Matthew McConaughey,11000,Rainn Wilson,973,Delroy Lindo,848,SaharaåÊ
Hironobu Sakaguchi,6,Steve Buscemi,12000,Ming-Na Wen,2000,Jean Simmons,422,Final Fantasy: The Spirits WithinåÊ
Joe Johnston,394,Chris Evans,11000,Dominic Cooper,3000,Hayley Atwell,2000,Captain America: The First AvengeråÊ
Michael Apted,150,Colin Salmon,766,Maria Grazia Cucinotta,536,Desmond Llewelyn,244,The World Is Not EnoughåÊ
Peter Weir,608,James D'Arcy,613,Lee Ingleby,172,David Threlfall,168,Master and Commander: The Far Side of the WorldåÊ
Bill Condon,386,Robert Pattinson,21000,Kristen Stewart,17000,Taylor Lautner,12000,The Twilight Saga: Breaking Dawn - Part 2åÊ
George Miller,750,Robin Williams,49000,Brad Pitt,11000,Common,988,Happy Feet 2åÊ
Louis Leterrier,255,Ty Burrell,3000,Peter Mensah,1000,William Hurt,882,The Incredible HulkåÊ
,,Don Johnson,982,Philip Michael Thomas,321,John Diehl,184,Miami ViceåÊ            
Steven Spielberg,14000,Mark Rylance,535,Penelope Wilton,400,Rafe Spall,358,The BFGåÊ
Alejandro G. IÌ±ÌÁrritu,0,Leonardo DiCaprio,29000,Tom Hardy,27000,Lukas Haas,733,The RevenantåÊ
David Soren,13,Ryan Reynolds,16000,Snoop Dogg,881,Ben Schwartz,463,TurboåÊ
Gore Verbinski,563,Johnny Depp,40000,Ray Winstone,1000,Stephen Root,939,RangoåÊ
Eric Darnell,35,Benedict Cumberbatch,19000,Annet Mahendru,411,Andy Richter,179,Penguins of MadagascaråÊ
Paul Greengrass,521,Matt Damon,13000,Edgar RamÌ_rez,897,Albert Finney,883,The Bourne UltimatumåÊ
Mark Osborne,54,Angelina Jolie Pitt,11000,Wayne Knight,967,Dan Fogler,562,Kung Fu PandaåÊ
Peyton Reed,235,Judy Greer,2000,Hayley Atwell,2000,T.I.,680,Ant-ManåÊ
Francis Lawrence,508,Jennifer Lawrence,34000,Josh Hutcherson,14000,Sandra Ellis Lafferty,523,The Hunger Games: Catching FireåÊ
Bill Condon,386,Robert Pattinson,21000,Kristen Stewart,17000,Taylor Lautner,12000,The Twilight Saga: Breaking Dawn - Part 2åÊ
Tim Johnson,12,Jim Parsons,17000,Matt Jones,523,April Winchell,183,HomeåÊ
Steven Spielberg,14000,Tom Cruise,10000,Lisa Ann Walter,1000,Rick Gonzalez,807,War of the WorldsåÊ
Michael Bay,0,Will Smith,10000,Henry Rollins,898,Jordi MollÌÊ,877,Bad Boys IIåÊ
Chris Miller,50,Salma Hayek,4000,Constance Marie,442,Amy Sedaris,397,Puss in BootsåÊ
Phillip Noyce,176,Angelina Jolie Pitt,11000,Andre Braugher,702,August Diehl,282,SaltåÊ
Darren Aronofsky,0,Anthony Hopkins,12000,Emma Watson,9000,Logan Lerman,8000,NoahåÊ
Steven Spielberg,14000,Toby Jones,2000,Mackenzie Crook,871,Tony Curran,845,The Adventures of TintinåÊ
Alfonso CuarÌ_n,0,Daniel Radcliffe,11000,Gary Oldman,10000,Rupert Grint,10000,Harry Potter and the Prisoner of AzkabanåÊ
Baz Luhrmann,1000,Essie Davis,309,Bryan Brown,284,Eddie Baroo,165,AustraliaåÊ
M. Night Shyamalan,0,Will Smith,10000,ZoÌÇ Kravitz,943,Glenn Morshower,894,After EarthåÊ
Eric Leighton,0,Alfre Woodard,1000,D.B. Sweeney,558,Della Reese,388,DinosauråÊ
Matt Birch,0,Rupert Grint,10000,Dave Legeno,570,Ralph Ineson,159,Harry Potter and the Deathly Hallows: Part IIåÊ
Shawn Levy,189,Robin Williams,49000,Rami Malek,3000,Steve Coogan,1000,Night at the Museum: Secret of the TombåÊ
Tom McGrath,96,J.K. Simmons,24000,Brad Pitt,11000,Will Ferrell,8000,MegamindåÊ
Chris Columbus,0,Daniel Radcliffe,11000,Fiona Shaw,687,Verne Troyer,645,Harry Potter and the Sorcerer's StoneåÊ
Robert Schwentke,124,Ryan Reynolds,16000,Jeff Bridges,12000,Stephanie Szostak,1000,R.I.P.D.åÊ
Hideaki Anno,28,Mark Chinnery,544,Shin'ya Tsukamoto,106,Atsuko Maeda,12,Godzilla ResurgenceåÊ
Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,Pirates of the Caribbean: The Curse of the Black PearlåÊ
Matt Birch,0,Rupert Grint,10000,Toby Jones,2000,Alfred Enoch,1000,Harry Potter and the Deathly Hallows: Part IåÊ
Francis Lawrence,508,Jennifer Lawrence,34000,Philip Seymour Hoffman,22000,Josh Hutcherson,14000,The Hunger Games: Mockingjay - Part 1åÊ
Ron Howard,2000,Tom Hanks,15000,Seth Gabel,574,JÌ_rgen Prochnow,362,The Da Vinci CodeåÊ
Carlos Saldanha,107,Miguel Ferrer,688,Rachel Crow,237,Jeffrey Garcia,56,Rio 2åÊ
Bryan Singer,0,Hugh Jackman,20000,Bruce Davison,505,Aaron Stanford,346,X-Men 2åÊ
Justin Lin,681,Paul Walker,23000,Vin Diesel,14000,Dwayne Johnson,12000,Fast FiveåÊ
Guy Ritchie,0,Robert Downey Jr.,21000,Eddie Marsan,979,Paul Anderson,154,Sherlock Holmes: A Game of ShadowsåÊ
Louis Leterrier,255,Liam Neeson,14000,Jason Flemyng,1000,Alexa Davalos,850,Clash of the TitansåÊ
Paul Verhoeven,719,Ronny Cox,605,Rachel Ticotin,308,Marshall Bell,217,Total RecallåÊ
John McTiernan,323,Tony Curran,845,Vladimir Kulich,372,Clive Russell,241,The 13th WarrioråÊ
Tony Gilroy,209,Jeremy Renner,10000,Scott Glenn,826,Stacy Keach,602,The Bourne LegacyåÊ
Joel Schumacher,541,Michael Gough,920,Vivica A. Fox,890,John Glover,409,Batman & RobinåÊ
Ron Howard,2000,Clint Howard,1000,T.J. Thyne,722,Molly Shannon,636,How the Grinch Stole ChristmasåÊ
Roland Emmerich,776,Jake Gyllenhaal,15000,Dennis Quaid,2000,Sela Ward,812,The Day After TomorrowåÊ
John Woo,610,Tom Cruise,10000,Dougray Scott,794,Richard Roxburgh,653,Mission: Impossible IIåÊ
Wolfgang Petersen,249,Karen Allen,784,Mary Elizabeth Mastrantonio,638,Bob Gunton,461,The Perfect StormåÊ
Tim Story,167,Chris Evans,11000,Ioan Gruffudd,2000,Andre Braugher,702,Fantastic 4: Rise of the Silver SurferåÊ
Ang Lee,0,Suraj Sharma,774,Rafe Spall,358,Tabu,341,Life of PiåÊ
Mark Steven Johnson,160,Nicolas Cage,12000,Matt Long,701,Peter Fonda,402,Ghost RideråÊ
Paul Greengrass,521,Matt Damon,13000,Riz Ahmed,365,Ato Essandoh,265,Jason BourneåÊ
McG,368,Demi Moore,2000,Bernie Mac,1000,Justin Theroux,1000,Charlie's Angels: Full ThrottleåÊ
Ridley Scott,0,Michael Fassbender,13000,Charlize Theron,9000,Sean Harris,641,PrometheusåÊ
Rob Minkoff,50,Nathan Lane,886,Brad Garrett,799,Melanie Griffith,537,Stuart Little 2åÊ
Neill Blomkamp,662,Matt Damon,13000,Sharlto Copley,2000,Alice Braga,1000,ElysiumåÊ
David Twohy,123,Vin Diesel,14000,Alexa Davalos,850,Christina Cox,567,The Chronicles of RiddickåÊ
JosÌ© Padilha,294,Gary Oldman,10000,Abbie Cornish,2000,Jennifer Ehle,1000,RoboCopåÊ
Lana Wachowski,0,Scott Porter,690,Kick Gurry,107,Nicholas Elia,87,Speed RaceråÊ
James L. Brooks,274,Shelley Conn,273,Domenick Lombardozzi,216,Teyonah Parris,157,How Do You KnowåÊ
James Mangold,446,Tom Cruise,10000,Marc Blucas,973,Jordi MollÌÊ,877,Knight and DayåÊ
Joseph Kosinski,364,Morgan Freeman,11000,Tom Cruise,10000,ZoÌÇ Bell,1000,OblivionåÊ
