movie_title,num_critic_for_reviews,num_user_for_reviews
Stuart Little 2åÊ,71,69
ElysiumåÊ,476,814
The Chronicles of RiddickåÊ,207,666
RoboCopåÊ,492,630
Speed RaceråÊ,284,414
How Do You KnowåÊ,168,196
Knight and DayåÊ,283,348
OblivionåÊ,539,892
Star Wars: Episode III - Revenge of the SithåÊ,359,3286
Star Wars: Episode II - Attack of the ClonesåÊ,284,3516
"Monsters, Inc.åÊ",250,593
The WolverineåÊ,440,533
Star Wars: Episode I - The Phantom MenaceåÊ,320,3597
The CroodsåÊ,257,195
Asterix at the Olympic GamesåÊ,33,36
WindtalkersåÊ,152,454
The Huntsman: Winter's WaråÊ,231,134
Teenage Mutant Ninja TurtlesåÊ,348,491
GravityåÊ,738,1885
Dante's PeakåÊ,93,277
Teenage Mutant Ninja Turtles: Out of the ShadowsåÊ,181,115
Fantastic FouråÊ,369,695
Night at the MuseumåÊ,179,444
San AndreasåÊ,358,499
Tomorrow Never DiesåÊ,160,328
The PatriotåÊ,192,1144
Ocean's TwelveåÊ,198,627
Mr. & Mrs. SmithåÊ,233,798
InsurgentåÊ,263,258
The AviatoråÊ,267,799
Gulliver's TravelsåÊ,184,121
The Green HornetåÊ,447,443
The A-TeamåÊ            ,29,97
300: Rise of an EmpireåÊ,366,523
The SmurfsåÊ,172,153
Home on the RangeåÊ,104,88
AllegiantåÊ,181,144
Real SteelåÊ,327,426
The Smurfs 2åÊ,125,59
Speed 2: Cruise ControlåÊ,79,248
Ender's GameåÊ,326,554
Live Free or Die HardåÊ,354,782
The Lord of the Rings: The Fellowship of the RingåÊ,297,5060
Around the World in 80 DaysåÊ,188,191
AliåÊ,174,386
The Cat in the HatåÊ,109,456
"I, RobotåÊ",225,789
Kingdom of HeavenåÊ,239,942
Stuart LittleåÊ,101,179
The Princess and the FrogåÊ,228,214
The MartianåÊ,568,1023
"10,000 B.C.åÊ            ",,
The IslandåÊ,257,899
Town & CountryåÊ,62,89
Gone in Sixty SecondsåÊ,175,498
GladiatoråÊ,265,2368
Minority ReportåÊ,252,1331
Harry Potter and the Chamber of SecretsåÊ,232,858
Casino RoyaleåÊ,400,2301
Planet of the ApesåÊ,230,1368
Terminator 2: Judgment DayåÊ,210,983
Public EnemiesåÊ,357,585
American GangsteråÊ,300,458
True LiesåÊ,94,351
The Taking of Pelham 1 2 3åÊ,267,285
Little FockersåÊ,180,152
The Other GuysåÊ,265,316
EraseråÊ,81,131
Django UnchainedåÊ,765,1193
The Hunchback of Notre DameåÊ,80,230
The Emperor's New GrooveåÊ,141,297
The Expendables 2åÊ,383,474
National TreasureåÊ,193,692
EragonåÊ,170,1690
Where the Wild Things AreåÊ,333,388
PanåÊ,256,186
EpicåÊ,203,113
The TouriståÊ,321,374
End of DaysåÊ,174,524
Blood DiamondåÊ,166,657
The Wolf of Wall StreetåÊ,606,1138
Batman ForeveråÊ,144,539
Starship TroopersåÊ,192,1049
Cloud AtlasåÊ,511,828
Legend of the Guardians: The Owls of Ga'HooleåÊ,188,160
CatwomanåÊ,212,660
HerculesåÊ,245,269
Treasure PlanetåÊ,127,217
Land of the LoståÊ,167,224
The Expendables 3åÊ,320,351
Point BreakåÊ,163,163
Son of the MaskåÊ,78,239
In the Heart of the SeaåÊ,289,161
The Adventures of Pluto NashåÊ,66,164
Green ZoneåÊ,266,261
The Peanuts MovieåÊ,208,155
The Spanish PrisoneråÊ,97,263
The Mummy ReturnsåÊ,202,890
Gangs of New YorkåÊ,233,1166
The Flowers of WaråÊ,136,130
Surf's UpåÊ,154,112
The Stepford WivesåÊ,169,407
Black Hawk DownåÊ,200,1103
The CampaignåÊ,255,177
The Fifth ElementåÊ,173,742
Sex and the City 2åÊ,221,293
The Road to El DoradoåÊ,82,139
Ice Age: Continental DriftåÊ,233,139
CinderellaåÊ,343,322
The Lovely BonesåÊ,308,593
Finding NemoåÊ,301,866
The Lord of the Rings: The Return of the KingåÊ,328,3189
The Lord of the Rings: The Two TowersåÊ,294,2417
Seventh SonåÊ,175,154
Lara Croft: Tomb RaideråÊ,199,824
TranscendenceåÊ,355,462
Jurassic Park IIIåÊ,198,1236
Rise of the Planet of the ApesåÊ,529,646
The Spiderwick ChroniclesåÊ,198,125
A Good Day to Die HardåÊ,412,503
The AlamoåÊ,106,267
The IncrediblesåÊ,283,815
Cutthroat IslandåÊ,61,169
Percy Jackson & the Olympians: The Lightning ThiefåÊ,217,419
Men in BlackåÊ,175,289
Toy Story 2åÊ,191,515
UnstoppableåÊ,316,326
Rush Hour 2åÊ,127,394
What Lies BeneathåÊ,185,683
Cloudy with a Chance of MeatballsåÊ,191,156
Ice Age: Dawn of the DinosaursåÊ,188,132
The Secret Life of Walter MittyåÊ,362,515
Charlie's AngelsåÊ,181,643
The DepartedåÊ,352,2054
MulanåÊ,143,222
Tropic ThunderåÊ,308,577
The Girl with the Dragon TattooåÊ,517,632
Die Hard with a VengeanceåÊ,148,346
Sherlock HolmesåÊ,415,621
Ben-HuråÊ,1,1
Atlantis: The Lost EmpireåÊ,146,289
Alvin and the Chipmunks: The Road ChipåÊ,70,53
ValkyrieåÊ,269,440
You Don't Mess with the ZohanåÊ,198,380
PixelsåÊ,253,342
A.I. Artificial IntelligenceåÊ,281,2153
The Haunted MansionåÊ,122,179
ContactåÊ,159,611
Hollow ManåÊ,180,628
The InterpreteråÊ,227,411
Percy Jackson: Sea of MonstersåÊ,183,204
Lara Croft Tomb Raider: The Cradle of LifeåÊ,157,316
Now You See Me 2åÊ,196,139
The SaintåÊ,64,184
Spy GameåÊ,142,361
Mission to MarsåÊ,181,949
RioåÊ,240,186
Bicentennial ManåÊ,93,362
VolcanoåÊ,84,181
The Devil's OwnåÊ,66,114
K-19: The WidowmakeråÊ,136,278
Fantastic FouråÊ,369,695
Conan the BarbarianåÊ,166,337
Cinderella ManåÊ,201,529
The Nutcracker in 3DåÊ,47,24
SeabiscuitåÊ,175,455
TwisteråÊ,114,395
The Fast and the FuriousåÊ,187,988
Cast AwayåÊ,221,1051
Happy FeetåÊ,206,548
The Bourne SupremacyåÊ,239,806
Air Force OneåÊ,142,393
Ocean's ElevenåÊ,186,845
The Three MusketeersåÊ,228,254
Hotel TransylvaniaåÊ,256,168
EnchantedåÊ,222,399
HannibalåÊ            ,103,270
Safe HouseåÊ,298,276
102 DalmatiansåÊ,84,77
Tower HeiståÊ,236,194
The HolidayåÊ,157,483
Enemy of the StateåÊ,81,415
It's ComplicatedåÊ,187,214
Ocean's ThirteenåÊ,238,288
Open SeasonåÊ,107,100
DivergentåÊ,459,713
Enemy at the GatesåÊ,187,662
The RundownåÊ,151,255
Last Action HeroåÊ,80,257
Memoirs of a GeishaåÊ,229,548
The Fast and the Furious: Tokyo DriftåÊ,158,378
Arthur ChristmasåÊ,190,78
Meet Joe BlackåÊ,98,703
Collateral DamageåÊ,135,339
All That JazzåÊ,84,146
Mirror MirroråÊ,382,208
Scott Pilgrim vs. the WorldåÊ,393,522
The CoreåÊ,149,466
Nutty Professor II: The KlumpsåÊ,94,171
Scooby-DooåÊ,138,521
DreddåÊ,432,588
ClickåÊ,173,685
CreepshowåÊ,127,211
Cats & Dogs: The Revenge of Kitty GaloreåÊ,91,63
JumperåÊ,238,488
Hellboy II: The Golden ArmyåÊ,345,342
ZodiacåÊ,377,589
The 6th DayåÊ,170,289
Bruce AlmightyåÊ,191,604
The ExpendablesåÊ,424,741
Mission: ImpossibleåÊ,154,378
The Hunger GamesåÊ,673,1959
The Hangover Part IIåÊ,383,402
Batman ReturnsåÊ,153,610
Over the HedgeåÊ,166,250
Lilo & StitchåÊ,180,367
Charlotte's WebåÊ,120,102
Deep ImpactåÊ,125,493
RED 2åÊ,234,205
The Longest YardåÊ,134,316
Alvin and the Chipmunks: ChipwreckedåÊ,91,56
Grown Ups 2åÊ,139,255
Get SmartåÊ,265,380
Something's Gotta GiveåÊ,145,402
Shutter IslandåÊ,490,964
Four ChristmasesåÊ,141,124
RobotsåÊ,163,269
Face/OffåÊ,155,535
Bedtime StoriesåÊ,144,116
Road to PerditionåÊ,226,1009
Just Go with ItåÊ,204,203
DaredevilåÊ            ,95,394
Con AiråÊ,139,339
Eagle EyeåÊ,215,318
Cold MountainåÊ,198,674
The Book of EliåÊ,325,560
FlubberåÊ,53,64
The HauntingåÊ,167,805
Space JamåÊ,46,123
The Pink PantheråÊ,147,424
The Day the Earth Stood StillåÊ,276,698
Conspiracy TheoryåÊ,80,162
FuryåÊ,406,701
Six Days Seven NightsåÊ,97,164
Yogi BearåÊ,143,100
Spirit: Stallion of the CimarronåÊ,106,216
ZookeeperåÊ,178,127
Lost in SpaceåÊ,102,370
The Manchurian CandidateåÊ,209,363
DÌ©jÌÊ VuåÊ,19,40
Hotel Transylvania 2åÊ,152,97
BewitchedåÊ            ,31,71
Fantasia 2000åÊ,129,186
The Time MachineåÊ,124,615
Mighty Joe YoungåÊ,35,88
SwordfishåÊ,166,543
The Legend of ZorroåÊ,137,244
What Dreams May ComeåÊ,121,619
Little NickyåÊ,87,237
The Brothers GrimmåÊ,233,492
Mars Attacks!åÊ,132,405
EvolutionåÊ,63,3
The EdgeåÊ,95,182
SurrogatesåÊ,258,252
Thirteen DaysåÊ,162,315
DaylightåÊ,61,101
Walking with Dinosaurs 3DåÊ,113,66
Battlefield EarthåÊ,174,1308
Looney Tunes: Back in ActionåÊ,101,160
NineåÊ,205,232
TimelineåÊ,123,457
The PostmanåÊ,79,376
Babe: Pig in the CityåÊ,61,216
The Last Witch HunteråÊ,202,117
Red PlanetåÊ,145,348
Arthur and the InvisiblesåÊ,101,64
OceansåÊ,113,42
A Sound of ThunderåÊ,113,301
PompeiiåÊ,272,308
Top Cat BeginsåÊ,3,1
A Beautiful MindåÊ,205,1171
The Lion KingåÊ,186,656
Journey 2: The Mysterious IslandåÊ,178,133
Cloudy with a Chance of Meatballs 2åÊ,169,85
Red DragonåÊ,210,764
HidalgoåÊ,140,345
Jack and JillåÊ,156,264
2 Fast 2 FuriousåÊ,150,370
The Little PrinceåÊ,119,64
The InvasionåÊ,232,273
The Adventures of Rocky & BullwinkleåÊ,49,197
The Secret Life of PetsåÊ,165,155
The League of Extraordinary GentlemenåÊ,202,786
Despicable Me 2åÊ,306,284
Independence DayåÊ,185,856
The Lost World: Jurassic ParkåÊ,177,552
MadagascaråÊ,181,385
Children of MenåÊ,372,1206
X-MenåÊ,290,1401
WantedåÊ,316,713
The RockåÊ,122,415
Ice Age: The MeltdownåÊ,164,253
50 First DatesåÊ,147,456
HairsprayåÊ,219,401
Exorcist: The BeginningåÊ,167,308
Inspector GadgetåÊ,70,231
Now You See MeåÊ,384,629
Grown UpsåÊ,179,311
The TerminalåÊ,151,596
ConstantineåÊ            ,12,94
Hotel for DogsåÊ,107,57
Vertical LimitåÊ,134,379
Charlie Wilson's WaråÊ,269,289
Shark TaleåÊ,143,288
DreamgirlsåÊ,241,503
LifeåÊ            ,12,67
Be CoolåÊ,161,323
MunichåÊ,298,824
Tears of the SunåÊ,89,394
KillersåÊ,140,120
The Man from U.N.C.L.E.åÊ,362,360
SpanglishåÊ,124,342
Monster HouseåÊ,190,229
BanditsåÊ,132,261
First KnightåÊ,53,180
Anna and the KingåÊ,91,217
ImmortalsåÊ,284,405
HostageåÊ,152,288
Titan A.E.åÊ,131,377
Hollywood HomicideåÊ,132,254
SoldieråÊ,67,373
CarriersåÊ,130,119
MonkeyboneåÊ,74,171
Flight of the PhoenixåÊ,114,222
UnbreakableåÊ,294,1344
MinionsåÊ,308,275
Sucker PunchåÊ,435,918
Snake EyesåÊ,117,241
SphereåÊ,108,274
The Angry Birds MovieåÊ,141,126
Fool's GoldåÊ,176,138
Funny PeopleåÊ,230,301
The KingdomåÊ,234,289
Talladega Nights: The Ballad of Ricky BobbyåÊ,164,437
Dr. Dolittle 2åÊ,91,79
BraveheartåÊ,132,1065
JarheadåÊ,262,657
The Simpsons MovieåÊ,299,763
The MajesticåÊ,128,376
DrivenåÊ,109,346
Two BrothersåÊ,88,124
The VillageåÊ,261,2003
Doctor DolittleåÊ,73,98
SignsåÊ,208,2335
Shrek 2åÊ,205,483
CarsåÊ,256,584
Runaway BrideåÊ,103,255
xXxåÊ,191,737
The SpongeBob Movie: Sponge Out of WateråÊ,147,133
RansomåÊ,79,158
Inglourious BasterdsåÊ,486,1527
HookåÊ,75,363
HerculesåÊ,245,269
Die Hard 2åÊ,142,316
S.W.A.T.åÊ,144,340
Sleepy HollowåÊ            ,39,110
Vanilla SkyåÊ,153,1248
Lady in the WateråÊ,284,1040
AVP: Alien vs. PredatoråÊ,247,1283
Alvin and the Chipmunks: The SqueakquelåÊ,107,98
We Were SoldiersåÊ,141,742
Olympus Has FallenåÊ,358,698
Star Trek: InsurrectionåÊ,160,515
Battle Los AngelesåÊ,355,800
Big FishåÊ,235,816
WolfåÊ,59,137
War HorseåÊ,388,488
The Monuments MenåÊ,371,403
The AbyssåÊ,82,380
Wall Street: Money Never SleepsåÊ,297,245
Dracula UntoldåÊ,261,423
The SiegeåÊ,120,281
StarduståÊ,228,492
Seven Years in TibetåÊ,76,119
The DilemmaåÊ,185,141
Bad CompanyåÊ,128,189
DoomåÊ,237,814
I SpyåÊ,105,141
Underworld: AwakeningåÊ,242,271
Rock of AgesåÊ,360,356
Hart's WaråÊ,112,196
Killer EliteåÊ,189,157
RollerballåÊ,151,289
Ballistic: Ecks vs. SeveråÊ,92,277
Hard RainåÊ,79,126
Osmosis JonesåÊ,81,123
Legends of Oz: Dorothy's ReturnåÊ,51,54
BlackhatåÊ,261,207
Sky Captain and the World of TomorrowåÊ,197,618
Basic Instinct 2åÊ,159,313
Escape PlanåÊ,286,279
The Legend of HerculesåÊ,156,202
The Sum of All FearsåÊ,176,568
The Twilight Saga: EclipseåÊ,293,498
The ScoreåÊ,141,445
Despicable MeåÊ,304,296
Money TrainåÊ,40,62
Ted 2åÊ,280,229
AgoraåÊ,180,172
Mystery MenåÊ,125,435
Hall PassåÊ,237,143
The InsideråÊ,209,521
The Finest HoursåÊ,178,113
Body of LiesåÊ,238,263
Dinner for SchmucksåÊ,190,264
Abraham Lincoln: Vampire HunteråÊ,393,348
EntrapmentåÊ,138,274
Last Man StandingåÊ            ,4,87
The X FilesåÊ,142,297
The Last LegionåÊ,90,174
Saving Private RyanåÊ,219,2277
Need for SpeedåÊ,327,346
What Women WantåÊ,149,395
Ice AgeåÊ,193,467
DreamcatcheråÊ,175,662
LincolnåÊ,538,720
The MatrixåÊ,313,3646
Apollo 13åÊ,159,296
Total RecallåÊ,196,391
The Santa Clause 2åÊ,80,116
Les MisÌ©rablesåÊ,488,845
You've Got MailåÊ,153,556
Step BrothersåÊ,173,277
The Mask of ZorroåÊ,156,318
Due DateåÊ,307,285
UnbrokenåÊ,322,351
Space CowboysåÊ,169,326
CliffhangeråÊ,74,172
Broken ArrowåÊ,72,189
The KidåÊ,86,139
World Trade CenteråÊ,242,564
Mona Lisa SmileåÊ,141,264
The DictatoråÊ,313,310
Eyes Wide ShutåÊ,280,1500
AnnieåÊ,176,213
FocusåÊ,279,221
This Means WaråÊ,241,238
Blade: TrinityåÊ,185,514
Red DawnåÊ,97,383
Primary ColorsåÊ,117,157
Resident Evil: RetributionåÊ,239,423
Death RaceåÊ,230,211
The Long Kiss GoodnightåÊ,94,285
Proof of LifeåÊ,134,265
Zathura: A Space AdventureåÊ,136,202
Fight ClubåÊ,315,2968
We Are MarshallåÊ,96,175
The MissingåÊ            ,14,28
Hudson HawkåÊ,60,249
Lucky NumbersåÊ,60,69
"I, FrankensteinåÊ",308,194
Oliver TwiståÊ,127,138
ElektraåÊ,196,380
Sin City: A Dame to Kill ForåÊ,339,239
Random HeartsåÊ,96,290
EvereståÊ,361,265
Perfume: The Story of a MurdereråÊ,226,482
Austin Powers in GoldmemberåÊ,194,795
Astro BoyåÊ,138,77
Jurassic ParkåÊ,308,895
Wyatt EarpåÊ,40,145
Clear and Present DangeråÊ,42,133
Dragon BladeåÊ,68,86
LittlemanåÊ,78,187
U-571åÊ,178,602
The American PresidentåÊ,75,214
The Love GuruåÊ,150,250
3000 Miles to GracelandåÊ,113,399
The Hateful EightåÊ,596,1018
Blades of GloryåÊ,191,246
HopåÊ,156,82
300åÊ,460,2073
Meet the FockersåÊ,141,428
Marley & MeåÊ,180,320
The Green MileåÊ,186,1377
Wild HogsåÊ,177,255
Chicken LittleåÊ,161,251
Gone GirlåÊ,568,1127
The Bourne IdentityåÊ,249,849
GoldenEyeåÊ,137,416
The General's DaughteråÊ,113,274
The Truman ShowåÊ,213,877
The Prince of EgyptåÊ,120,353
Daddy Day CareåÊ,81,116
2 GunsåÊ,265,172
Cats & DogsåÊ,105,235
The Italian JobåÊ,155,497
Two Weeks NoticeåÊ,118,269
AntzåÊ,131,289
Couples RetreatåÊ,166,144
Days of ThunderåÊ,60,97
Cheaper by the Dozen 2åÊ,77,128
The Scorch TrialsåÊ,249,360
Eat Pray LoveåÊ,213,302
The Family ManåÊ,121,322
REDåÊ,315,328
Any Given SundayåÊ,171,452
The Horse WhispereråÊ,96,263
CollateralåÊ,299,836
The Scorpion KingåÊ,167,432
Ladder 49åÊ,125,323
Jack ReacheråÊ,387,448
Deep Blue SeaåÊ,199,643
This Is ItåÊ,136,223
ContagionåÊ,436,411
Kangaroo JackåÊ,73,181
CoralineåÊ,310,279
The HappeningåÊ,323,1264
Man on FireåÊ,171,690
The Shaggy DogåÊ,76,83
Starsky & HutchåÊ,173,308
Jingle All the WayåÊ,81,162
HellboyåÊ,242,597
A Civil ActionåÊ,110,181
ParaNormanåÊ,328,176
The JackalåÊ,83,227
PaycheckåÊ,196,347
Up Close & PersonalåÊ,34,54
The Tale of DespereauxåÊ,118,106
Rules of EngagementåÊ            ,8,41
The TuxedoåÊ,81,207
Under Siege 2: Dark TerritoryåÊ,47,126
Jack Ryan: Shadow RecruitåÊ,313,289
JoyåÊ,315,256
London Has FallenåÊ,225,323
Alien: ResurrectionåÊ,223,656
ShooteråÊ,198,338
The BoxtrollsåÊ,219,122
Practical MagicåÊ,92,257
The Lego MovieåÊ,435,471
Miss Congeniality 2: Armed and FabulousåÊ,111,156
Reign of FireåÊ,138,569
Gangster SquadåÊ,415,264
Year OneåÊ,170,203
InvictusåÊ,306,259
State of PlayåÊ,252,235
DuplicityåÊ,211,184
My Favorite MartianåÊ,49,73
The SentinelåÊ,161,213
Planet 51åÊ,156,72
Star Trek: NemesisåÊ,172,842
Intolerable CrueltyåÊ,161,322
Trouble with the CurveåÊ,239,150
Edge of DarknessåÊ,258,256
The RelicåÊ,95,165
Analyze ThatåÊ,105,138
Righteous KillåÊ,198,248
Mercury RisingåÊ,79,127
The SoloiståÊ,210,143
The Legend of Bagger VanceåÊ,125,267
Almost FamousåÊ,149,822
Garfield 2åÊ,77,74
xXx: State of the UnionåÊ,77,213
PrieståÊ,225,233
Sinbad: Legend of the Seven SeasåÊ,98,91
Event HorizonåÊ,172,857
The AvengersåÊ,703,1722
DragonflyåÊ,117,243
The Black DahliaåÊ,240,644
FlyboysåÊ,123,247
The Last CastleåÊ,110,281
SupernovaåÊ,100,282
Winter's TaleåÊ,189,126
The Mortal Instruments: City of BonesåÊ,212,457
Meet DaveåÊ,127,109
Dark WateråÊ,196,411
EdtvåÊ,115,195
